,IdRol,DescripcionRol,EstadoRol
159,Rol00000160,Officiis quos laborum soluta consectetur.,Activo
160,Rol00000161,Tenetur nemo sequi quasi quisquam eos quas.,Activo
161,Rol00000162,Magni quas enim.,Activo
162,Rol00000163,Quasi officia vel molestias sit vitae ratione.,Activo
163,Rol00000164,Amet necessitatibus sint natus distinctio ipsa aspernatur quasi.,Activo
164,Rol00000165,Accusamus suscipit inventore repudiandae quos fuga.,Activo
165,Rol00000166,Vel molestias dolor delectus natus porro harum earum.,Activo
166,Rol00000167,Corporis eveniet adipisci.,Inactivo
167,Rol00000168,Quaerat illo quis enim laudantium molestiae.,Activo
168,Rol00000169,Laboriosam amet ratione provident non modi ab.,Activo
169,Rol00000170,Magni corrupti odit perspiciatis eveniet inventore eligendi.,Activo
170,Rol00000171,Molestias voluptatum deleniti et.,Activo
171,Rol00000172,Adipisci sunt tempore suscipit ea ratione.,Activo
172,Rol00000173,Sint nesciunt nulla ratione corporis in totam cum.,Activo
173,Rol00000174,Voluptatem optio nam laudantium natus.,Activo
174,Rol00000175,Hic odit velit.,Activo
175,Rol00000176,Saepe sint officia reprehenderit.,Inactivo
176,Rol00000177,Quas corrupti nobis tenetur amet ipsa.,Activo
177,Rol00000178,A esse cumque minima nemo ab.,Activo
178,Rol00000179,Eaque aperiam nulla dolore deleniti non impedit.,Inactivo
179,Rol00000180,Error harum nam velit fugiat quaerat quam.,Inactivo
180,Rol00000181,Illum architecto sit repudiandae eveniet.,Inactivo
181,Rol00000182,Odit vel dolorem commodi in excepturi assumenda.,Activo
182,Rol00000183,Porro deserunt consectetur corporis debitis perferendis eum.,Inactivo
183,Rol00000184,Qui eum reiciendis harum blanditiis doloribus culpa expedita.,Activo
184,Rol00000185,Alias sequi beatae quis nobis.,Inactivo
185,Rol00000186,Quae facilis commodi pariatur.,Activo
186,Rol00000187,Rerum magni facere eveniet consequuntur necessitatibus.,Activo
187,Rol00000188,Iusto provident maxime adipisci temporibus laboriosam voluptates.,Inactivo
188,Rol00000189,Voluptates ut corrupti neque.,Inactivo
189,Rol00000190,Rem esse impedit architecto iste sunt.,Activo
190,Rol00000191,Eveniet pariatur consectetur ipsam dolore cum praesentium.,Inactivo
191,Rol00000192,Soluta hic dolorem non.,Inactivo
192,Rol00000193,Doloribus neque beatae non pariatur eligendi.,Activo
193,Rol00000194,Animi repellat vero.,Inactivo
194,Rol00000195,Iusto voluptas temporibus magnam.,Inactivo
195,Rol00000196,Esse animi temporibus explicabo facilis perferendis nihil.,Inactivo
196,Rol00000197,Quis iste quae culpa eos.,Inactivo
197,Rol00000198,Perspiciatis doloribus voluptas optio ex architecto fugit.,Inactivo
198,Rol00000199,Consequuntur eaque quos omnis ut asperiores ipsum.,Activo
199,Rol00000200,Placeat dolorum esse sequi sint.,Inactivo
200,Rol00000201,Saepe at odio eos natus quibusdam quos.,Activo
201,Rol00000202,Unde in nam suscipit.,Inactivo
202,Rol00000203,Assumenda ducimus at odio laudantium.,Inactivo
203,Rol00000204,Nihil quos beatae assumenda nemo nostrum esse.,Inactivo
204,Rol00000205,Cum dolores commodi aliquid occaecati.,Activo
205,Rol00000206,Quaerat tempora fugiat asperiores.,Activo
206,Rol00000207,Minima delectus facere tempore rerum fugiat.,Activo
207,Rol00000208,Eaque placeat blanditiis id dolores iusto.,Activo
208,Rol00000209,Quisquam sit fuga ad maxime.,Inactivo
209,Rol00000210,Sunt esse numquam ipsum.,Inactivo
210,Rol00000211,Dicta quod magnam quis architecto minima.,Activo
211,Rol00000212,Voluptatum quas dolorem natus itaque.,Inactivo
212,Rol00000213,Alias nulla expedita illo ipsum doloremque magnam.,Activo
213,Rol00000214,Provident saepe neque cumque aperiam exercitationem.,Activo
214,Rol00000215,Veritatis officia natus libero dolorem facere.,Activo
215,Rol00000216,Laborum nesciunt incidunt dolorum doloremque sunt sequi exercitationem.,Activo
216,Rol00000217,Sit magnam quaerat natus officiis enim nesciunt.,Inactivo
217,Rol00000218,Magnam corporis doloremque ipsa repellendus nulla.,Inactivo
218,Rol00000219,Totam vitae accusantium distinctio recusandae.,Inactivo
219,Rol00000220,Accusamus numquam quibusdam ex quod maiores neque id.,Inactivo
220,Rol00000221,Aliquam nobis sequi aut.,Activo
221,Rol00000222,Error sed maiores.,Inactivo
222,Rol00000223,Quam voluptates dolorum.,Inactivo
223,Rol00000224,Illum ex iusto modi quos.,Inactivo
224,Rol00000225,Provident facilis accusantium quae ex architecto.,Activo
225,Rol00000226,Culpa facere enim veritatis sunt.,Activo
226,Rol00000227,Quam illum distinctio.,Activo
227,Rol00000228,Occaecati explicabo voluptatibus fugit unde nisi enim iste.,Activo
228,Rol00000229,Id iure nemo ad pariatur.,Inactivo
229,Rol00000230,Nihil ab recusandae nihil delectus laudantium.,Inactivo
230,Rol00000231,Fugit neque saepe omnis quos nobis.,Inactivo
231,Rol00000232,Velit officia deleniti sint.,Inactivo
232,Rol00000233,Ab quis qui a dolor eius commodi.,Inactivo
233,Rol00000234,Nemo reiciendis odio cum accusantium.,Activo
234,Rol00000235,Amet quo itaque ut in.,Inactivo
235,Rol00000236,Iusto exercitationem possimus explicabo nihil.,Inactivo
236,Rol00000237,Modi quisquam consectetur.,Activo
237,Rol00000238,Dolores aspernatur labore totam.,Inactivo
238,Rol00000239,Porro deleniti ex accusantium pariatur nemo magni itaque.,Activo
239,Rol00000240,Voluptates modi dolores nobis.,Activo
240,Rol00000241,Vel nostrum quo nostrum aliquam.,Inactivo
241,Rol00000242,Quae facilis beatae.,Activo
242,Rol00000243,Aliquid quibusdam quas.,Inactivo
243,Rol00000244,Saepe qui magni earum fuga.,Activo
244,Rol00000245,Excepturi provident in ipsam est ducimus quibusdam mollitia.,Inactivo
245,Rol00000246,Consectetur facere veniam voluptatum tenetur repudiandae impedit.,Activo
246,Rol00000247,Occaecati earum iure sequi.,Inactivo
247,Rol00000248,Eos eligendi magni praesentium cum facere.,Activo
248,Rol00000249,Iste consequatur in ex.,Inactivo
249,Rol00000250,Doloribus saepe laborum aperiam animi libero.,Inactivo
250,Rol00000251,Voluptate hic explicabo laboriosam.,Activo
251,Rol00000252,Quod fugiat deserunt occaecati.,Activo
252,Rol00000253,Eos nihil ab eos eaque non optio eum.,Activo
253,Rol00000254,Debitis excepturi voluptate nesciunt.,Activo
254,Rol00000255,Suscipit saepe cupiditate illo vel.,Inactivo
255,Rol00000256,Inventore consectetur rem.,Activo
256,Rol00000257,Voluptatem minima enim iste velit quod recusandae.,Activo
257,Rol00000258,Quibusdam optio nisi laudantium incidunt ab.,Inactivo
258,Rol00000259,Rerum aperiam temporibus doloribus repellat laborum magni.,Inactivo
259,Rol00000260,Possimus aliquam voluptatum quae corporis consequatur sequi.,Inactivo
260,Rol00000261,Occaecati mollitia dicta quas maxime.,Inactivo
261,Rol00000262,Sequi reprehenderit ut sequi.,Activo
262,Rol00000263,Vel impedit animi dolorem fugiat.,Inactivo
263,Rol00000264,Adipisci eaque nobis voluptate aliquam natus.,Activo
264,Rol00000265,Temporibus veritatis recusandae cum maxime doloremque atque.,Inactivo
265,Rol00000266,Fugiat porro rem ipsum.,Inactivo
266,Rol00000267,Error sed quos porro et nihil debitis.,Inactivo
267,Rol00000268,Molestiae sit esse cum aliquam.,Activo
268,Rol00000269,Nemo voluptates ea molestiae maiores.,Inactivo
269,Rol00000270,Ullam ab culpa autem similique dolor.,Activo
270,Rol00000271,Molestias ad repudiandae quidem voluptate at facilis dolores.,Activo
271,Rol00000272,Quaerat consequuntur tempore nisi.,Inactivo
272,Rol00000273,Alias libero ipsam commodi autem.,Activo
273,Rol00000274,Mollitia aliquid illum pariatur.,Activo
274,Rol00000275,Sapiente eaque atque totam consequatur.,Inactivo
275,Rol00000276,Dolorem itaque explicabo neque itaque.,Activo
276,Rol00000277,Cumque rem eos cum similique laborum quam.,Activo
277,Rol00000278,Magnam officiis est neque voluptatum.,Activo
278,Rol00000279,Eius deleniti vel minima est culpa architecto sed.,Activo
279,Rol00000280,Aspernatur velit quasi vitae similique repudiandae earum.,Inactivo
280,Rol00000281,Eligendi ea illum ad ipsum explicabo.,Activo
281,Rol00000282,Architecto laborum optio nihil.,Activo
282,Rol00000283,Laborum rerum laudantium corrupti odio ab.,Activo
283,Rol00000284,Animi magni voluptas dolor atque possimus quaerat.,Activo
284,Rol00000285,At tempora nisi odit facere eaque officia.,Inactivo
285,Rol00000286,Voluptatem illum repellat iure culpa officia in.,Inactivo
286,Rol00000287,Quibusdam laboriosam debitis dolorem soluta voluptatum maxime.,Activo
287,Rol00000288,Possimus exercitationem maxime consequatur.,Inactivo
288,Rol00000289,Consectetur dolor laborum incidunt recusandae ipsam.,Inactivo
289,Rol00000290,Accusamus quam nemo deleniti quod doloremque aut.,Inactivo
290,Rol00000291,Odio praesentium laborum cumque iste error veniam magnam.,Activo
291,Rol00000292,Excepturi amet id tempore cum fugit.,Activo
292,Rol00000293,Tempora est ad quam ab quas tenetur facere.,Inactivo
293,Rol00000294,Quia aut necessitatibus hic consequuntur voluptatem beatae.,Inactivo
294,Rol00000295,Dicta dicta neque eveniet.,Activo
295,Rol00000296,Quisquam quos sapiente dolor animi excepturi incidunt.,Inactivo
296,Rol00000297,Sunt neque eveniet.,Activo
297,Rol00000298,Unde non error voluptates soluta culpa.,Inactivo
298,Rol00000299,Molestias architecto libero perferendis cupiditate illum tempora.,Inactivo
299,Rol00000300,Dolores libero iusto iure molestiae.,Activo
300,Rol00000301,Doloribus distinctio libero sunt omnis nisi.,Inactivo
301,Rol00000302,Quae iusto suscipit quasi dignissimos.,Activo
302,Rol00000303,Sint culpa quaerat qui.,Inactivo
303,Rol00000304,Commodi blanditiis beatae soluta error aut in.,Activo
304,Rol00000305,Accusamus dolorum porro ullam perspiciatis quas.,Inactivo
305,Rol00000306,Et iste reprehenderit nemo.,Inactivo
306,Rol00000307,In ea perferendis aut itaque voluptatum explicabo.,Inactivo
307,Rol00000308,Provident autem ea itaque harum numquam.,Inactivo
308,Rol00000309,Exercitationem facere ipsum voluptates.,Inactivo
309,Rol00000310,Occaecati quasi delectus dicta.,Inactivo
310,Rol00000311,Voluptatum eveniet explicabo debitis laboriosam repellat perferendis.,Activo
311,Rol00000312,Praesentium magnam temporibus tenetur ut quaerat minus.,Activo
312,Rol00000313,Est voluptatum eveniet quidem laboriosam ullam.,Activo
313,Rol00000314,Aliquid ipsa consequatur ad magnam beatae.,Inactivo
314,Rol00000315,Voluptatum illum praesentium.,Activo
315,Rol00000316,Quasi rerum consequuntur praesentium ea nam dolor voluptatibus.,Inactivo
316,Rol00000317,Tempore error est ipsum libero.,Activo
317,Rol00000318,Possimus ducimus ut quod illum enim deleniti.,Inactivo
318,Rol00000319,Vel voluptas cum vitae voluptate similique.,Inactivo
319,Rol00000320,Cum distinctio nihil perspiciatis esse praesentium voluptas.,Activo
320,Rol00000321,Quisquam porro voluptas libero quis.,Inactivo
321,Rol00000322,Id voluptatem cum quis ipsum odio dolorum.,Activo
322,Rol00000323,Numquam placeat nesciunt quaerat et minima.,Activo
323,Rol00000324,Nulla ad alias.,Inactivo
324,Rol00000325,Aliquam quaerat voluptatum nulla possimus.,Inactivo
325,Rol00000326,Suscipit architecto architecto recusandae.,Activo
326,Rol00000327,Suscipit nam ex occaecati earum voluptate molestiae.,Inactivo
327,Rol00000328,Quidem voluptates nesciunt perferendis error porro fugit.,Inactivo
328,Rol00000329,Quod ratione iste magni voluptates porro similique.,Activo
329,Rol00000330,Fugit id eos placeat perferendis consequuntur maxime.,Activo
330,Rol00000331,Aliquid possimus sunt beatae voluptatibus architecto eaque.,Activo
331,Rol00000332,Aspernatur magnam praesentium odio provident corporis.,Inactivo
332,Rol00000333,Quas quod ex alias totam excepturi.,Inactivo
333,Rol00000334,Esse ratione minus ducimus modi inventore.,Activo
334,Rol00000335,Vitae dicta explicabo repellendus cumque eius.,Activo
335,Rol00000336,Vitae distinctio officiis voluptatum ullam nulla dignissimos.,Inactivo
336,Rol00000337,Repellat nam veniam dolore sit nulla.,Inactivo
337,Rol00000338,Expedita harum at quae molestias saepe eius.,Inactivo
338,Rol00000339,Provident vero voluptatem eos nisi.,Inactivo
339,Rol00000340,Cupiditate hic asperiores eaque consectetur.,Inactivo
340,Rol00000341,Perspiciatis corrupti temporibus quia iste vel tenetur.,Activo
341,Rol00000342,Odit odit sit voluptatem eius dicta excepturi.,Activo
342,Rol00000343,Sed itaque possimus.,Inactivo
343,Rol00000344,Aut debitis nostrum nam.,Inactivo
344,Rol00000345,Molestias sint sit itaque blanditiis.,Inactivo
345,Rol00000346,Tempore praesentium optio laborum facere error cumque.,Activo
346,Rol00000347,Tenetur minus suscipit vitae explicabo impedit quos molestias.,Activo
347,Rol00000348,Porro autem omnis occaecati et velit.,Activo
348,Rol00000349,Reiciendis reiciendis error.,Inactivo
349,Rol00000350,Sunt sequi nesciunt commodi numquam.,Activo
350,Rol00000351,Doloremque maxime omnis rerum.,Inactivo
351,Rol00000352,Ratione neque modi aliquid impedit voluptas aut.,Activo
352,Rol00000353,Aspernatur sit voluptatem asperiores fuga.,Activo
353,Rol00000354,Commodi minima autem deserunt ratione voluptatum.,Activo
354,Rol00000355,Cupiditate aliquid consequuntur aliquid quas sed ullam.,Inactivo
355,Rol00000356,Quisquam occaecati magnam.,Inactivo
356,Rol00000357,Aliquid vitae voluptate voluptas unde voluptatibus.,Activo
357,Rol00000358,Facilis aspernatur ea.,Activo
358,Rol00000359,Unde voluptate aperiam inventore molestiae nam ullam.,Inactivo
359,Rol00000360,Doloremque aut qui accusantium quo distinctio.,Activo
360,Rol00000361,Ea dolorum eos maiores soluta nesciunt.,Inactivo
361,Rol00000362,Ab ipsa adipisci dolor atque deleniti.,Activo
362,Rol00000363,Asperiores itaque nostrum minima vero quidem.,Activo
363,Rol00000364,Modi reiciendis fugit veritatis quaerat.,Inactivo
364,Rol00000365,Beatae quo cumque rem explicabo nemo placeat sint.,Activo
365,Rol00000366,Modi vero placeat tenetur aliquam consectetur.,Inactivo
366,Rol00000367,Sunt nobis rem quibusdam.,Inactivo
367,Rol00000368,Dignissimos laboriosam magni maxime accusamus laudantium.,Activo
368,Rol00000369,Culpa architecto fugiat sunt libero veniam.,Activo
369,Rol00000370,Ad provident eaque eius occaecati culpa repellendus doloremque.,Activo
370,Rol00000371,Ad fuga eos optio quam rem.,Inactivo
371,Rol00000372,Adipisci aperiam beatae laudantium ratione earum aliquid animi.,Activo
372,Rol00000373,Quidem ducimus dignissimos rerum ipsa.,Inactivo
373,Rol00000374,Natus nisi distinctio optio.,Activo
374,Rol00000375,Deleniti ad esse eius sequi vel saepe facere.,Inactivo
375,Rol00000376,Quaerat modi a.,Inactivo
376,Rol00000377,Unde ipsa sapiente omnis eos eum.,Inactivo
377,Rol00000378,Consequuntur at cupiditate pariatur sint inventore iste.,Activo
378,Rol00000379,Minima aspernatur eaque sapiente ab sequi eos occaecati.,Inactivo
379,Rol00000380,Cum repellat repudiandae.,Inactivo
380,Rol00000381,Sapiente explicabo maiores dolorem molestias optio aliquid perferendis.,Inactivo
381,Rol00000382,Illum eum sed perferendis assumenda est minus quam.,Inactivo
382,Rol00000383,Vitae sint et accusamus at cumque commodi quia.,Inactivo
383,Rol00000384,Ad veritatis recusandae accusamus.,Activo
384,Rol00000385,Aliquam et magni impedit.,Inactivo
385,Rol00000386,Culpa fugit qui voluptates porro.,Inactivo
386,Rol00000387,Harum quos aut atque cumque consectetur quam.,Inactivo
387,Rol00000388,Hic blanditiis accusantium similique voluptatem repudiandae provident.,Inactivo
388,Rol00000389,Eum quis rerum modi.,Inactivo
389,Rol00000390,Ex explicabo sequi.,Activo
390,Rol00000391,Dolorem ut consectetur maiores nulla.,Activo
391,Rol00000392,Dicta architecto laboriosam praesentium nihil incidunt ipsa.,Activo
392,Rol00000393,Vero excepturi sint commodi voluptatibus.,Inactivo
393,Rol00000394,Praesentium ut optio hic ipsum dolore voluptatum quaerat.,Activo
394,Rol00000395,Laborum voluptatem laudantium veritatis optio consequuntur necessitatibus.,Inactivo
395,Rol00000396,Nulla repellendus pariatur aperiam minus.,Inactivo
396,Rol00000397,Itaque nisi nostrum asperiores sunt.,Activo
397,Rol00000398,Doloribus quia similique deserunt aperiam consequatur.,Inactivo
398,Rol00000399,Dolorem molestiae perferendis voluptatibus harum sit sed.,Activo
399,Rol00000400,Quis sed ipsa exercitationem at quas temporibus.,Activo
400,Rol00000401,At nostrum at maxime delectus necessitatibus tenetur culpa.,Activo
401,Rol00000402,Odio nesciunt minima.,Activo
402,Rol00000403,In ea soluta quod.,Inactivo
403,Rol00000404,Perspiciatis maxime unde esse quis nemo repudiandae.,Activo
404,Rol00000405,Voluptatum accusamus aliquam reprehenderit saepe officia iste.,Activo
405,Rol00000406,Dicta nisi eveniet perspiciatis.,Inactivo
406,Rol00000407,Occaecati reiciendis unde id laudantium magni earum tempore.,Activo
407,Rol00000408,Repudiandae maxime quis quam.,Inactivo
408,Rol00000409,Ad molestias reiciendis quibusdam iusto atque quidem.,Activo
409,Rol00000410,Iusto iure aliquid aperiam.,Inactivo
