,IdM,NombreM,DescripcionM,EstadoM
52,M00000053,Educación SocioEmocional,Cumque fugiat corporis possimus.,Inactivo
53,M00000054,Artes,Expedita repudiandae dolorum dignissimos.,Inactivo
54,M00000055,Educación SocioEmocional,Rem atque distinctio reiciendis quod officia ex voluptatibus.,Activo
55,M00000056,Educación SocioEmocional,Possimus ea ea possimus.,Activo
56,M00000057,Educación SocioEmocional,Quo praesentium laboriosam iusto adipisci illum culpa quod.,Inactivo
57,M00000058,Pensamiento Matemáico,Molestiae aliquid deserunt iusto occaecati.,Activo
58,M00000059,Educación SocioEmocional,Vitae ab nesciunt quos illum aut nihil.,Inactivo
59,M00000060,Lenguaje y Comunicación,Quis quo iure eum.,Inactivo
60,M00000061,Exploración y Comprensión del mundo natural y social,Ullam minima earum voluptatem alias porro.,Inactivo
61,M00000062,Educación Fisica,Optio possimus numquam occaecati laudantium est.,Activo
62,M00000063,Educación SocioEmocional,Vero aliquam voluptatum cupiditate eos saepe.,Activo
63,M00000064,Educación Fisica,Laborum ut amet accusamus consequatur.,Inactivo
64,M00000065,Educación Fisica,Accusamus facere ducimus velit libero.,Inactivo
65,M00000066,Educación SocioEmocional,Possimus ea voluptatibus ex officiis.,Activo
66,M00000067,Pensamiento Matemáico,Alias recusandae natus doloribus facilis.,Inactivo
67,M00000068,Educación SocioEmocional,Exercitationem dignissimos molestiae asperiores cupiditate quaerat architecto modi.,Inactivo
68,M00000069,Pensamiento Matemáico,Animi delectus est saepe ratione molestias ad doloremque.,Inactivo
69,M00000070,Pensamiento Matemáico,Quae perferendis accusamus assumenda quae quo impedit.,Activo
70,M00000071,Lenguaje y Comunicación,Occaecati ullam repudiandae eius illum quas ad.,Inactivo
71,M00000072,Pensamiento Matemáico,Exercitationem quos saepe quam nesciunt dolorum beatae.,Activo
72,M00000073,Exploración y Comprensión del mundo natural y social,Numquam nostrum est consectetur debitis tempore.,Activo
73,M00000074,Exploración y Comprensión del mundo natural y social,Earum cupiditate laudantium libero sunt.,Activo
74,M00000075,Artes,Soluta eaque veniam fugiat asperiores.,Inactivo
75,M00000076,Exploración y Comprensión del mundo natural y social,Voluptatibus fugiat vel quae impedit vitae sapiente.,Activo
76,M00000077,Artes,Ab pariatur tempore voluptatibus.,Activo
77,M00000078,Educación Fisica,Maxime voluptas enim voluptatem reprehenderit exercitationem ratione sint.,Inactivo
78,M00000079,Educación SocioEmocional,Eius nihil sit recusandae ratione fugit.,Activo
79,M00000080,Educación SocioEmocional,Numquam ducimus incidunt inventore.,Inactivo
80,M00000081,Artes,Odio dolorem sapiente reiciendis eius distinctio nihil.,Inactivo
81,M00000082,Educación SocioEmocional,Dolore recusandae iusto eaque sit voluptate.,Inactivo
82,M00000083,Exploración y Comprensión del mundo natural y social,Eos nam perferendis officiis possimus nemo illo voluptatem.,Inactivo
83,M00000084,Exploración y Comprensión del mundo natural y social,Possimus assumenda ipsa excepturi veritatis.,Activo
84,M00000085,Exploración y Comprensión del mundo natural y social,Natus ab debitis eaque dignissimos.,Activo
85,M00000086,Educación Fisica,Consectetur enim inventore aliquid culpa.,Activo
86,M00000087,Lenguaje y Comunicación,A ratione suscipit accusantium nemo quis qui.,Inactivo
87,M00000088,Artes,Quidem perspiciatis neque quos.,Inactivo
88,M00000089,Educación SocioEmocional,Voluptatum quod perferendis earum dolorum nobis temporibus.,Inactivo
89,M00000090,Artes,Cupiditate sunt repudiandae accusantium nam.,Activo
90,M00000091,Educación Fisica,Itaque nesciunt suscipit ducimus consequuntur odio.,Inactivo
91,M00000092,Educación Fisica,Asperiores nesciunt necessitatibus.,Inactivo
92,M00000093,Educación Fisica,Iure placeat dignissimos modi.,Activo
93,M00000094,Educación SocioEmocional,Repudiandae at expedita veritatis.,Activo
94,M00000095,Lenguaje y Comunicación,Recusandae nihil eius eum.,Inactivo
95,M00000096,Educación SocioEmocional,Voluptatibus libero ullam accusamus omnis sed ipsam.,Inactivo
96,M00000097,Educación Fisica,Debitis rerum cupiditate illum corrupti.,Activo
97,M00000098,Lenguaje y Comunicación,Fugiat tempora impedit excepturi nisi eum eligendi quaerat.,Inactivo
98,M00000099,Pensamiento Matemáico,Dolor rerum voluptatibus accusamus dolorem necessitatibus eum.,Activo
99,M00000100,Artes,Voluptates doloribus omnis perferendis impedit quasi.,Activo
100,M00000101,Educación SocioEmocional,Id tempore delectus expedita perferendis iste minima.,Activo
101,M00000102,Artes,Esse natus atque architecto.,Activo
102,M00000103,Exploración y Comprensión del mundo natural y social,Distinctio doloremque ut quas iure.,Activo
103,M00000104,Educación SocioEmocional,Asperiores reprehenderit quisquam pariatur quisquam atque.,Inactivo
104,M00000105,Educación Fisica,Eum modi adipisci veniam.,Activo
105,M00000106,Artes,Ut adipisci rerum assumenda dignissimos.,Inactivo
106,M00000107,Pensamiento Matemáico,Quas facere nihil dignissimos quam et.,Activo
107,M00000108,Exploración y Comprensión del mundo natural y social,Aut fugit labore vero laborum.,Inactivo
108,M00000109,Exploración y Comprensión del mundo natural y social,Deserunt sit ipsam iusto.,Activo
109,M00000110,Artes,In sit animi laborum.,Inactivo
110,M00000111,Educación SocioEmocional,Saepe architecto omnis vel.,Activo
111,M00000112,Pensamiento Matemáico,Vitae sapiente fugit omnis quam doloribus.,Inactivo
112,M00000113,Educación SocioEmocional,Cumque eum vero esse ab voluptatibus.,Activo
113,M00000114,Lenguaje y Comunicación,Eum impedit mollitia autem molestiae reiciendis eum.,Activo
114,M00000115,Pensamiento Matemáico,Aliquid enim at.,Inactivo
115,M00000116,Educación Fisica,Cupiditate voluptates ratione officia.,Activo
116,M00000117,Artes,At inventore ratione.,Activo
117,M00000118,Artes,Nemo nisi nesciunt non ex quos numquam.,Activo
118,M00000119,Lenguaje y Comunicación,Aut recusandae totam ducimus tempora vero blanditiis animi.,Activo
119,M00000120,Educación SocioEmocional,Dolorum doloribus voluptate nisi iste quidem aspernatur explicabo.,Activo
120,M00000121,Pensamiento Matemáico,Magnam iusto consequatur facilis iste placeat.,Inactivo
121,M00000122,Exploración y Comprensión del mundo natural y social,Voluptatem cupiditate tempore placeat.,Activo
122,M00000123,Pensamiento Matemáico,Et consectetur soluta.,Activo
123,M00000124,Pensamiento Matemáico,Iste mollitia qui veritatis doloremque optio quod laborum.,Inactivo
124,M00000125,Exploración y Comprensión del mundo natural y social,Labore eum molestiae doloribus.,Inactivo
125,M00000126,Educación SocioEmocional,Mollitia dicta aliquid.,Activo
126,M00000127,Pensamiento Matemáico,Odit excepturi molestias.,Inactivo
127,M00000128,Educación SocioEmocional,Atque suscipit fugit.,Activo
128,M00000129,Artes,Quos modi sunt neque quam.,Inactivo
129,M00000130,Lenguaje y Comunicación,Quisquam assumenda aperiam quidem ratione.,Activo
130,M00000131,Exploración y Comprensión del mundo natural y social,Placeat perspiciatis blanditiis facere consequuntur quidem.,Activo
131,M00000132,Lenguaje y Comunicación,Quod aut error velit.,Activo
132,M00000133,Educación SocioEmocional,Modi minima porro sequi saepe cumque excepturi quasi.,Inactivo
133,M00000134,Artes,Illum eos dicta ut corrupti.,Inactivo
134,M00000135,Educación SocioEmocional,Tempora facere sequi quasi.,Activo
135,M00000136,Exploración y Comprensión del mundo natural y social,Expedita fugit commodi ipsa cupiditate est.,Inactivo
136,M00000137,Artes,Voluptate perspiciatis molestiae cupiditate in esse voluptatum.,Inactivo
137,M00000138,Educación SocioEmocional,Soluta sed sint sunt.,Activo
138,M00000139,Artes,Illum et officiis consequuntur minima quibusdam.,Inactivo
139,M00000140,Educación SocioEmocional,Nihil corrupti corporis neque veritatis accusantium.,Activo
140,M00000141,Artes,Facilis recusandae odit mollitia cupiditate quos voluptatibus sunt.,Inactivo
141,M00000142,Lenguaje y Comunicación,Totam neque ratione consequuntur soluta unde.,Activo
142,M00000143,Educación SocioEmocional,Ab amet laboriosam earum.,Activo
143,M00000144,Pensamiento Matemáico,Dignissimos tempore dolorem quibusdam rerum.,Inactivo
144,M00000145,Artes,Quaerat vitae officia nihil aspernatur quibusdam.,Inactivo
145,M00000146,Exploración y Comprensión del mundo natural y social,Velit harum nulla aliquam voluptatum iusto tempore.,Activo
146,M00000147,Pensamiento Matemáico,Aliquid suscipit tenetur iure.,Inactivo
147,M00000148,Educación SocioEmocional,Consequatur tempore magni eos.,Inactivo
148,M00000149,Pensamiento Matemáico,Nisi totam officia dolorum error quos.,Activo
149,M00000150,Artes,Accusantium officiis laboriosam dolores saepe.,Activo
150,M00000151,Educación Fisica,Vel quam sed tempore itaque magni nobis excepturi.,Activo
151,M00000152,Exploración y Comprensión del mundo natural y social,Modi ullam illo neque.,Activo
152,M00000153,Lenguaje y Comunicación,Dolorem optio rem cum voluptate dolorum ad.,Activo
153,M00000154,Artes,Quisquam facilis ducimus est non vero et.,Activo
154,M00000155,Artes,Cupiditate ipsum quaerat nostrum.,Inactivo
155,M00000156,Artes,Magnam modi commodi corrupti natus rerum laudantium.,Inactivo
156,M00000157,Lenguaje y Comunicación,Temporibus temporibus at earum corporis officiis.,Inactivo
157,M00000158,Educación Fisica,Cupiditate harum vitae.,Inactivo
158,M00000159,Educación Fisica,Consequuntur doloribus mollitia temporibus aperiam esse eaque maiores.,Activo
159,M00000160,Educación SocioEmocional,Quam ut ipsam.,Activo
160,M00000161,Educación SocioEmocional,Officiis distinctio modi provident ipsam facilis dolores.,Activo
161,M00000162,Artes,Ut nisi cumque animi non sapiente voluptate.,Inactivo
162,M00000163,Exploración y Comprensión del mundo natural y social,Facere molestias minus modi numquam deserunt voluptas.,Inactivo
163,M00000164,Artes,Fuga officia molestias.,Activo
164,M00000165,Educación Fisica,Assumenda nam quos occaecati et error.,Inactivo
165,M00000166,Lenguaje y Comunicación,Beatae cupiditate corrupti.,Activo
166,M00000167,Lenguaje y Comunicación,Harum velit expedita iusto impedit.,Activo
167,M00000168,Educación Fisica,Consequuntur sequi recusandae ipsa earum inventore tenetur.,Inactivo
168,M00000169,Lenguaje y Comunicación,Reiciendis sit accusamus soluta explicabo.,Activo
169,M00000170,Educación SocioEmocional,Quos alias molestias inventore facere inventore iure cumque.,Activo
170,M00000171,Pensamiento Matemáico,Corrupti cupiditate illum molestias corporis.,Inactivo
171,M00000172,Exploración y Comprensión del mundo natural y social,Nesciunt qui nostrum quo.,Activo
172,M00000173,Artes,Id tempora neque quis facere.,Activo
173,M00000174,Educación Fisica,Consequuntur at quam necessitatibus ex voluptas.,Activo
174,M00000175,Educación SocioEmocional,Iure sed porro expedita minima illo iusto.,Inactivo
175,M00000176,Artes,Ad veritatis eaque tempora cum omnis.,Inactivo
176,M00000177,Educación Fisica,Voluptates hic iusto asperiores amet omnis.,Activo
177,M00000178,Lenguaje y Comunicación,Aspernatur blanditiis fugit adipisci recusandae culpa.,Inactivo
178,M00000179,Lenguaje y Comunicación,Sapiente omnis cumque quisquam laudantium delectus.,Inactivo
179,M00000180,Artes,Quas voluptatem quos.,Activo
180,M00000181,Artes,Excepturi aspernatur atque labore nobis eveniet temporibus.,Inactivo
181,M00000182,Pensamiento Matemáico,Voluptatum iusto reiciendis nam.,Inactivo
182,M00000183,Pensamiento Matemáico,Quas repudiandae dolor quisquam quidem tenetur.,Activo
183,M00000184,Pensamiento Matemáico,Tenetur labore facere laborum quod sequi consectetur.,Activo
184,M00000185,Pensamiento Matemáico,Similique repellendus fuga impedit alias dicta soluta.,Inactivo
185,M00000186,Artes,Accusantium laborum eaque tempora quis minus.,Inactivo
186,M00000187,Educación Fisica,Officia voluptatibus vel corporis id commodi cumque.,Activo
187,M00000188,Educación SocioEmocional,Minus totam neque officia.,Inactivo
188,M00000189,Exploración y Comprensión del mundo natural y social,Quod sit aut et porro veniam.,Inactivo
189,M00000190,Exploración y Comprensión del mundo natural y social,Recusandae assumenda placeat maiores quis aspernatur.,Inactivo
190,M00000191,Pensamiento Matemáico,Nemo quo quasi eaque nobis quibusdam a.,Activo
191,M00000192,Educación Fisica,Odio fuga soluta ex.,Activo
192,M00000193,Educación SocioEmocional,Animi ipsum explicabo omnis.,Activo
193,M00000194,Pensamiento Matemáico,Animi magnam nisi quos consectetur facilis.,Inactivo
194,M00000195,Lenguaje y Comunicación,Earum totam explicabo illo.,Inactivo
195,M00000196,Exploración y Comprensión del mundo natural y social,Aspernatur recusandae voluptates enim temporibus aspernatur laudantium.,Activo
196,M00000197,Artes,Molestias explicabo tenetur deleniti consequatur totam.,Inactivo
197,M00000198,Exploración y Comprensión del mundo natural y social,Soluta iure laboriosam fugiat hic velit.,Inactivo
198,M00000199,Artes,Vel omnis culpa ipsam earum.,Inactivo
199,M00000200,Educación SocioEmocional,Hic quam nesciunt atque quasi molestias minima.,Inactivo
200,M00000201,Pensamiento Matemáico,Vel iste exercitationem a dolorum molestiae quisquam.,Activo
201,M00000202,Educación Fisica,Vitae explicabo architecto enim sed inventore voluptas.,Activo
202,M00000203,Educación SocioEmocional,Vero temporibus odio porro perspiciatis ducimus.,Inactivo
203,M00000204,Artes,Quis aliquam accusamus commodi nobis.,Activo
204,M00000205,Pensamiento Matemáico,Ea suscipit culpa magnam modi.,Activo
205,M00000206,Pensamiento Matemáico,Dolorum quo ducimus iste nam quaerat enim nisi.,Activo
206,M00000207,Educación SocioEmocional,Iusto earum aliquid consequuntur.,Activo
207,M00000208,Educación SocioEmocional,Mollitia aliquam esse eaque.,Inactivo
208,M00000209,Educación Fisica,Tenetur reiciendis dolorem quas.,Activo
209,M00000210,Exploración y Comprensión del mundo natural y social,Aliquam illum nobis a alias.,Inactivo
210,M00000211,Exploración y Comprensión del mundo natural y social,Earum veniam tempore ut ipsum.,Inactivo
211,M00000212,Exploración y Comprensión del mundo natural y social,Dolore eum sunt ipsum voluptatibus harum ratione.,Activo
212,M00000213,Educación Fisica,Exercitationem tempora alias sit nisi totam iure voluptatum.,Inactivo
213,M00000214,Pensamiento Matemáico,Saepe quis accusantium modi aspernatur error non.,Activo
214,M00000215,Exploración y Comprensión del mundo natural y social,Commodi dolores facere reprehenderit ratione doloribus.,Inactivo
215,M00000216,Lenguaje y Comunicación,Sunt voluptatum eveniet expedita sequi.,Activo
216,M00000217,Artes,Ea delectus dignissimos autem.,Activo
217,M00000218,Educación Fisica,Ipsa eligendi sint voluptate.,Activo
218,M00000219,Educación Fisica,Deleniti asperiores blanditiis necessitatibus commodi saepe commodi labore.,Inactivo
219,M00000220,Pensamiento Matemáico,Excepturi odit qui magnam sit sint eligendi sed.,Activo
220,M00000221,Educación SocioEmocional,Delectus blanditiis deleniti magnam molestias vero.,Inactivo
221,M00000222,Educación SocioEmocional,Explicabo temporibus earum neque.,Inactivo
222,M00000223,Pensamiento Matemáico,Explicabo pariatur libero reiciendis.,Activo
223,M00000224,Pensamiento Matemáico,Neque explicabo fugiat fugit voluptas esse consequatur.,Inactivo
224,M00000225,Pensamiento Matemáico,Placeat asperiores vel necessitatibus dolor.,Inactivo
225,M00000226,Educación Fisica,Alias veritatis suscipit modi minus minus sequi quod.,Inactivo
226,M00000227,Lenguaje y Comunicación,Officia impedit vitae repellat fugiat voluptatibus facilis itaque.,Inactivo
227,M00000228,Educación SocioEmocional,Repellendus odit aspernatur ea ex.,Activo
228,M00000229,Lenguaje y Comunicación,Numquam similique consequatur odio eos voluptas.,Activo
229,M00000230,Lenguaje y Comunicación,Fugiat consequatur enim sunt voluptatum.,Inactivo
230,M00000231,Educación SocioEmocional,Facere harum soluta facilis nesciunt.,Activo
231,M00000232,Lenguaje y Comunicación,Quos impedit nisi laboriosam voluptatibus explicabo.,Inactivo
232,M00000233,Artes,Blanditiis eius tenetur dolorem labore sit culpa.,Inactivo
233,M00000234,Lenguaje y Comunicación,Natus facilis quas.,Inactivo
234,M00000235,Exploración y Comprensión del mundo natural y social,Blanditiis ratione delectus rem rerum fugiat qui.,Inactivo
235,M00000236,Exploración y Comprensión del mundo natural y social,Eveniet accusantium qui magnam.,Activo
236,M00000237,Pensamiento Matemáico,Consequuntur possimus cum non.,Inactivo
237,M00000238,Lenguaje y Comunicación,Ratione dolorem laboriosam labore.,Inactivo
238,M00000239,Pensamiento Matemáico,Natus eveniet aliquid tempora tempore maxime.,Inactivo
239,M00000240,Educación SocioEmocional,Dignissimos molestias numquam at.,Activo
240,M00000241,Artes,Recusandae quos non optio.,Activo
241,M00000242,Exploración y Comprensión del mundo natural y social,Eius velit quam aliquam vero repudiandae sed.,Activo
242,M00000243,Pensamiento Matemáico,Perferendis accusamus sed laboriosam unde fuga odio.,Activo
243,M00000244,Pensamiento Matemáico,Ea dolor inventore dolores.,Activo
244,M00000245,Artes,Quo deleniti ad repellat iure mollitia nisi.,Activo
245,M00000246,Exploración y Comprensión del mundo natural y social,Dolor pariatur ipsum similique eum ratione voluptas.,Inactivo
246,M00000247,Educación SocioEmocional,Iure laudantium cumque non fugit.,Activo
247,M00000248,Artes,Id aliquam fugit voluptatum facere nesciunt similique.,Inactivo
248,M00000249,Lenguaje y Comunicación,Rem ipsa deleniti excepturi totam laborum odio.,Activo
249,M00000250,Educación Fisica,Et ipsa numquam doloribus possimus.,Activo
250,M00000251,Educación SocioEmocional,Ea minima minima ullam.,Inactivo
251,M00000252,Educación Fisica,Corrupti delectus delectus saepe atque est.,Inactivo
252,M00000253,Educación SocioEmocional,Necessitatibus unde dolore architecto.,Inactivo
253,M00000254,Lenguaje y Comunicación,Repellendus minima nihil quos illum.,Inactivo
254,M00000255,Educación Fisica,Eos dolorem debitis magnam aut.,Inactivo
255,M00000256,Pensamiento Matemáico,Vero quis laborum culpa.,Activo
256,M00000257,Pensamiento Matemáico,Possimus totam porro consectetur.,Inactivo
257,M00000258,Pensamiento Matemáico,Fugit illum rerum ducimus voluptates.,Inactivo
258,M00000259,Lenguaje y Comunicación,Alias ducimus aut rerum.,Activo
259,M00000260,Pensamiento Matemáico,Veniam omnis voluptatem.,Inactivo
260,M00000261,Lenguaje y Comunicación,Quis itaque possimus unde.,Activo
261,M00000262,Educación SocioEmocional,Alias totam quae voluptatem aut.,Activo
262,M00000263,Artes,Molestiae ipsa eos nesciunt aliquam sapiente.,Activo
263,M00000264,Lenguaje y Comunicación,Expedita sequi vero.,Inactivo
264,M00000265,Exploración y Comprensión del mundo natural y social,Nam rerum dolorem eum.,Activo
265,M00000266,Pensamiento Matemáico,Similique quaerat porro id soluta.,Activo
266,M00000267,Exploración y Comprensión del mundo natural y social,Ab atque ipsum sunt veritatis facere.,Activo
267,M00000268,Pensamiento Matemáico,Iusto necessitatibus architecto hic deserunt minus.,Activo
268,M00000269,Educación Fisica,Veniam adipisci adipisci alias voluptatem.,Inactivo
269,M00000270,Pensamiento Matemáico,Aspernatur asperiores doloremque quis.,Activo
270,M00000271,Lenguaje y Comunicación,Officia voluptates necessitatibus ducimus est dolorum exercitationem.,Activo
271,M00000272,Educación SocioEmocional,Animi laborum recusandae maiores.,Inactivo
272,M00000273,Pensamiento Matemáico,Tempore repellat voluptas commodi.,Activo
273,M00000274,Lenguaje y Comunicación,Nostrum debitis quisquam dolore fuga possimus sequi.,Inactivo
274,M00000275,Exploración y Comprensión del mundo natural y social,Sequi architecto quia maxime dolorem nam.,Activo
275,M00000276,Exploración y Comprensión del mundo natural y social,Dolorem blanditiis illo nesciunt adipisci natus consequuntur culpa.,Activo
276,M00000277,Lenguaje y Comunicación,Eligendi aut nam dicta a.,Activo
277,M00000278,Educación SocioEmocional,Commodi occaecati nam consectetur quaerat corporis accusantium.,Inactivo
278,M00000279,Pensamiento Matemáico,Veniam ipsa cumque quaerat harum.,Activo
279,M00000280,Educación Fisica,Eligendi adipisci distinctio labore.,Activo
280,M00000281,Educación Fisica,Possimus porro laboriosam atque.,Activo
281,M00000282,Pensamiento Matemáico,Deleniti tempore corrupti tempore sit.,Inactivo
282,M00000283,Lenguaje y Comunicación,Ex quidem harum ipsam molestiae beatae quaerat.,Inactivo
283,M00000284,Artes,Dignissimos repellat ipsam expedita.,Activo
284,M00000285,Educación Fisica,Reprehenderit quam molestiae error nulla nihil eum.,Activo
285,M00000286,Educación Fisica,Ipsam dignissimos impedit totam.,Activo
286,M00000287,Educación Fisica,Nam aut corporis laboriosam.,Inactivo
287,M00000288,Educación Fisica,Unde illo a ipsa et.,Inactivo
288,M00000289,Lenguaje y Comunicación,Laboriosam fugit eum fuga.,Inactivo
289,M00000290,Educación Fisica,Soluta vitae labore nisi.,Activo
290,M00000291,Educación SocioEmocional,Commodi architecto cupiditate dignissimos.,Activo
291,M00000292,Exploración y Comprensión del mundo natural y social,Cupiditate aut eius ut aut.,Inactivo
292,M00000293,Exploración y Comprensión del mundo natural y social,Velit earum quis eius recusandae.,Activo
293,M00000294,Educación Fisica,Sint voluptatibus facilis.,Inactivo
294,M00000295,Exploración y Comprensión del mundo natural y social,Dolores nemo velit repudiandae.,Inactivo
295,M00000296,Exploración y Comprensión del mundo natural y social,Provident eius quae facilis.,Activo
296,M00000297,Educación Fisica,Accusamus illum quidem illum saepe.,Activo
297,M00000298,Artes,Accusantium illum dolorem magnam.,Inactivo
298,M00000299,Lenguaje y Comunicación,Dolore quo illum quasi voluptas voluptate est accusantium.,Inactivo
299,M00000300,Educación SocioEmocional,Qui quos et quam dolor iusto.,Activo
300,M00000301,Exploración y Comprensión del mundo natural y social,Magni occaecati explicabo quisquam suscipit accusantium.,Activo
301,M00000302,Artes,Quo necessitatibus qui aspernatur.,Inactivo
302,M00000303,Educación Fisica,Nostrum aut sunt laboriosam commodi.,Inactivo
303,M00000304,Educación SocioEmocional,Quidem voluptates nesciunt neque perferendis.,Activo
304,M00000305,Pensamiento Matemáico,Autem ullam voluptate adipisci molestiae nostrum.,Activo
305,M00000306,Educación SocioEmocional,Beatae repellat explicabo sint.,Inactivo
306,M00000307,Educación Fisica,Repellendus tempora fugit ad.,Inactivo
307,M00000308,Educación Fisica,Porro nulla corporis occaecati.,Activo
308,M00000309,Educación Fisica,Quo velit libero officia quasi adipisci minima minima.,Inactivo
309,M00000310,Lenguaje y Comunicación,Possimus officiis blanditiis dolor dolorem.,Inactivo
310,M00000311,Educación Fisica,Est voluptate laborum ratione recusandae culpa.,Inactivo
311,M00000312,Artes,Officiis quisquam saepe tempore dolores.,Inactivo
312,M00000313,Lenguaje y Comunicación,Alias quod vero cum doloremque iusto.,Activo
313,M00000314,Educación SocioEmocional,Magni placeat accusantium.,Activo
314,M00000315,Educación Fisica,Reiciendis voluptatibus doloremque ea.,Inactivo
315,M00000316,Lenguaje y Comunicación,Quam quibusdam ut laboriosam.,Inactivo
316,M00000317,Educación SocioEmocional,Doloribus quia deserunt dignissimos placeat.,Activo
317,M00000318,Educación SocioEmocional,Harum est adipisci eligendi consectetur consectetur fugiat.,Inactivo
318,M00000319,Educación Fisica,Sed a ratione necessitatibus excepturi quasi harum.,Inactivo
319,M00000320,Exploración y Comprensión del mundo natural y social,Reiciendis at sequi quisquam occaecati.,Activo
320,M00000321,Artes,Rem a ipsum occaecati quisquam.,Inactivo
321,M00000322,Artes,Vel unde reiciendis voluptatum dolor.,Inactivo
322,M00000323,Exploración y Comprensión del mundo natural y social,Mollitia ipsum distinctio hic voluptate doloremque iusto temporibus.,Activo
323,M00000324,Artes,Ad adipisci praesentium.,Activo
324,M00000325,Educación Fisica,Qui ullam nostrum ut laudantium.,Inactivo
325,M00000326,Artes,Quis numquam excepturi.,Inactivo
326,M00000327,Artes,Cupiditate minima occaecati iure at est.,Activo
