,IdAu,NumAu,EstadoAu
63,Au00000064,B-6105,Mantenimiento
64,Au00000065,B-2529,Ocupado
65,Au00000066,Patio,Ocupado
66,Au00000067,Patio,Mantenimiento
67,Au00000068,D-2268,Ocupado
68,Au00000069,Salon Interactivo,Disponible
69,Au00000070,B-7951,Mantenimiento
70,Au00000071,C-8004,Mantenimiento
71,Au00000072,C-5347,Mantenimiento
72,Au00000073,C-930,Ocupado
73,Au00000074,Patio,Mantenimiento
74,Au00000075,Patio,Disponible
75,Au00000076,Salon Interactivo,Disponible
76,Au00000077,D-9582,Mantenimiento
77,Au00000078,Salon Interactivo,Mantenimiento
78,Au00000079,D-4591,Disponible
79,Au00000080,D-5599,Mantenimiento
80,Au00000081,Salon Interactivo,Ocupado
81,Au00000082,A-6954,Disponible
82,Au00000083,Salon Interactivo,Mantenimiento
83,Au00000084,B-7183,Disponible
84,Au00000085,D-9623,Ocupado
85,Au00000086,C-2955,Ocupado
86,Au00000087,Coliseo,Mantenimiento
87,Au00000088,D-6037,Mantenimiento
88,Au00000089,Patio,Disponible
89,Au00000090,Patio,Disponible
90,Au00000091,Coliseo,Disponible
91,Au00000092,Coliseo,Ocupado
92,Au00000093,B-1809,Disponible
93,Au00000094,C-4002,Ocupado
94,Au00000095,A-256,Mantenimiento
95,Au00000096,Patio,Ocupado
96,Au00000097,A-5064,Mantenimiento
97,Au00000098,Coliseo,Disponible
98,Au00000099,Coliseo,Disponible
99,Au00000100,Coliseo,Ocupado
100,Au00000101,Salon Interactivo,Mantenimiento
101,Au00000102,C-9392,Disponible
102,Au00000103,Coliseo,Disponible
103,Au00000104,D-764,Mantenimiento
104,Au00000105,A-7517,Mantenimiento
105,Au00000106,C-6699,Disponible
106,Au00000107,Patio,Disponible
107,Au00000108,B-5839,Ocupado
108,Au00000109,B-4258,Disponible
109,Au00000110,A-3443,Ocupado
110,Au00000111,Patio,Disponible
111,Au00000112,Salon Interactivo,Disponible
112,Au00000113,C-1986,Mantenimiento
113,Au00000114,Salon Interactivo,Ocupado
114,Au00000115,Patio,Disponible
115,Au00000116,Patio,Mantenimiento
116,Au00000117,Patio,Ocupado
117,Au00000118,A-5967,Disponible
118,Au00000119,Salon Interactivo,Ocupado
119,Au00000120,A-2509,Disponible
120,Au00000121,Salon Interactivo,Disponible
121,Au00000122,D-4544,Ocupado
122,Au00000123,D-1248,Mantenimiento
123,Au00000124,D-9977,Disponible
124,Au00000125,Patio,Disponible
125,Au00000126,D-3490,Mantenimiento
126,Au00000127,D-6078,Disponible
127,Au00000128,A-186,Disponible
128,Au00000129,B-8380,Ocupado
129,Au00000130,B-3097,Mantenimiento
130,Au00000131,A-1561,Ocupado
131,Au00000132,A-1279,Mantenimiento
132,Au00000133,A-188,Disponible
133,Au00000134,Patio,Disponible
134,Au00000135,B-8798,Disponible
135,Au00000136,B-5513,Ocupado
136,Au00000137,C-7906,Mantenimiento
137,Au00000138,Patio,Ocupado
138,Au00000139,C-2230,Mantenimiento
139,Au00000140,Patio,Ocupado
140,Au00000141,Salon Interactivo,Ocupado
141,Au00000142,Coliseo,Ocupado
142,Au00000143,A-5752,Mantenimiento
143,Au00000144,Coliseo,Mantenimiento
144,Au00000145,A-4062,Ocupado
145,Au00000146,B-6470,Mantenimiento
146,Au00000147,Coliseo,Ocupado
147,Au00000148,D-5842,Mantenimiento
148,Au00000149,Coliseo,Ocupado
149,Au00000150,B-3514,Mantenimiento
150,Au00000151,A-6287,Ocupado
151,Au00000152,A-3803,Disponible
152,Au00000153,Coliseo,Ocupado
153,Au00000154,Patio,Mantenimiento
154,Au00000155,Coliseo,Ocupado
155,Au00000156,Salon Interactivo,Disponible
156,Au00000157,B-6947,Disponible
157,Au00000158,Salon Interactivo,Mantenimiento
158,Au00000159,B-506,Ocupado
159,Au00000160,A-9487,Mantenimiento
160,Au00000161,A-2971,Disponible
161,Au00000162,Patio,Mantenimiento
162,Au00000163,Patio,Mantenimiento
163,Au00000164,Coliseo,Disponible
164,Au00000165,C-5912,Disponible
165,Au00000166,Coliseo,Mantenimiento
166,Au00000167,A-2765,Disponible
167,Au00000168,Coliseo,Disponible
168,Au00000169,A-4270,Disponible
169,Au00000170,B-3890,Disponible
170,Au00000171,Patio,Mantenimiento
171,Au00000172,Salon Interactivo,Ocupado
172,Au00000173,B-2035,Ocupado
173,Au00000174,Patio,Ocupado
174,Au00000175,C-7497,Mantenimiento
175,Au00000176,Coliseo,Disponible
176,Au00000177,B-5704,Mantenimiento
177,Au00000178,Coliseo,Ocupado
178,Au00000179,C-4125,Ocupado
179,Au00000180,D-71,Mantenimiento
180,Au00000181,Patio,Disponible
181,Au00000182,C-5429,Ocupado
182,Au00000183,Salon Interactivo,Ocupado
183,Au00000184,D-4399,Mantenimiento
184,Au00000185,D-8743,Mantenimiento
185,Au00000186,A-5935,Mantenimiento
186,Au00000187,B-8406,Disponible
187,Au00000188,B-6616,Ocupado
188,Au00000189,B-8079,Disponible
189,Au00000190,A-663,Mantenimiento
190,Au00000191,Coliseo,Ocupado
191,Au00000192,C-5385,Ocupado
192,Au00000193,A-6931,Ocupado
193,Au00000194,A-4524,Mantenimiento
194,Au00000195,A-3043,Ocupado
195,Au00000196,C-7402,Disponible
196,Au00000197,Patio,Mantenimiento
197,Au00000198,A-7126,Mantenimiento
198,Au00000199,Coliseo,Disponible
199,Au00000200,A-6778,Disponible
200,Au00000201,Coliseo,Disponible
201,Au00000202,C-5155,Disponible
202,Au00000203,Coliseo,Disponible
203,Au00000204,A-1783,Disponible
204,Au00000205,Coliseo,Disponible
205,Au00000206,Salon Interactivo,Disponible
206,Au00000207,A-4999,Disponible
207,Au00000208,Coliseo,Mantenimiento
208,Au00000209,D-9948,Mantenimiento
209,Au00000210,C-1828,Ocupado
210,Au00000211,Coliseo,Disponible
211,Au00000212,D-2798,Disponible
212,Au00000213,B-8938,Ocupado
213,Au00000214,D-9175,Mantenimiento
214,Au00000215,C-1849,Disponible
215,Au00000216,Patio,Ocupado
216,Au00000217,A-8645,Ocupado
217,Au00000218,D-3543,Disponible
218,Au00000219,Salon Interactivo,Ocupado
219,Au00000220,D-3370,Ocupado
220,Au00000221,A-2849,Disponible
221,Au00000222,C-2190,Ocupado
222,Au00000223,D-3520,Mantenimiento
223,Au00000224,D-9929,Disponible
224,Au00000225,Salon Interactivo,Ocupado
225,Au00000226,D-268,Mantenimiento
226,Au00000227,B-432,Disponible
227,Au00000228,D-5942,Mantenimiento
228,Au00000229,B-2113,Mantenimiento
229,Au00000230,D-3711,Disponible
230,Au00000231,B-2505,Disponible
231,Au00000232,Salon Interactivo,Mantenimiento
232,Au00000233,A-8927,Disponible
233,Au00000234,Coliseo,Ocupado
234,Au00000235,A-9434,Mantenimiento
235,Au00000236,D-3619,Ocupado
236,Au00000237,B-666,Disponible
237,Au00000238,B-5930,Mantenimiento
238,Au00000239,Coliseo,Ocupado
239,Au00000240,D-613,Mantenimiento
240,Au00000241,Coliseo,Disponible
241,Au00000242,B-2823,Mantenimiento
242,Au00000243,C-1761,Ocupado
243,Au00000244,C-6321,Mantenimiento
244,Au00000245,Patio,Mantenimiento
245,Au00000246,C-3701,Mantenimiento
246,Au00000247,B-4067,Ocupado
247,Au00000248,Patio,Mantenimiento
248,Au00000249,Salon Interactivo,Ocupado
249,Au00000250,A-5675,Mantenimiento
250,Au00000251,Coliseo,Disponible
251,Au00000252,D-8241,Mantenimiento
252,Au00000253,Salon Interactivo,Disponible
253,Au00000254,A-241,Disponible
254,Au00000255,Patio,Ocupado
255,Au00000256,B-8690,Disponible
256,Au00000257,Patio,Ocupado
257,Au00000258,A-1973,Disponible
258,Au00000259,Salon Interactivo,Ocupado
259,Au00000260,D-439,Mantenimiento
260,Au00000261,Salon Interactivo,Disponible
261,Au00000262,B-4630,Ocupado
262,Au00000263,Coliseo,Mantenimiento
263,Au00000264,B-9583,Mantenimiento
264,Au00000265,C-7067,Disponible
265,Au00000266,D-5407,Ocupado
266,Au00000267,C-3164,Mantenimiento
267,Au00000268,Salon Interactivo,Mantenimiento
268,Au00000269,D-5292,Disponible
269,Au00000270,D-9725,Disponible
270,Au00000271,Patio,Mantenimiento
271,Au00000272,B-1109,Ocupado
272,Au00000273,D-7138,Mantenimiento
273,Au00000274,A-6132,Mantenimiento
274,Au00000275,Coliseo,Mantenimiento
275,Au00000276,C-4839,Disponible
276,Au00000277,A-5624,Mantenimiento
277,Au00000278,D-9882,Mantenimiento
278,Au00000279,Patio,Mantenimiento
279,Au00000280,B-9198,Disponible
280,Au00000281,C-5605,Disponible
281,Au00000282,A-4687,Mantenimiento
282,Au00000283,C-2896,Disponible
283,Au00000284,A-2739,Ocupado
284,Au00000285,Patio,Mantenimiento
285,Au00000286,A-7901,Disponible
286,Au00000287,C-6361,Mantenimiento
287,Au00000288,Patio,Disponible
288,Au00000289,Patio,Disponible
289,Au00000290,B-5540,Ocupado
290,Au00000291,A-8646,Disponible
291,Au00000292,Patio,Mantenimiento
292,Au00000293,B-7040,Mantenimiento
293,Au00000294,C-3282,Ocupado
294,Au00000295,C-6382,Disponible
295,Au00000296,A-5241,Disponible
296,Au00000297,Coliseo,Disponible
297,Au00000298,A-42,Mantenimiento
298,Au00000299,C-6184,Mantenimiento
299,Au00000300,Patio,Ocupado
300,Au00000301,Salon Interactivo,Ocupado
301,Au00000302,Coliseo,Ocupado
302,Au00000303,A-3921,Mantenimiento
303,Au00000304,C-3694,Mantenimiento
304,Au00000305,C-6418,Ocupado
305,Au00000306,Coliseo,Disponible
306,Au00000307,D-9732,Disponible
307,Au00000308,Salon Interactivo,Mantenimiento
308,Au00000309,Coliseo,Ocupado
309,Au00000310,Patio,Mantenimiento
310,Au00000311,D-4826,Disponible
311,Au00000312,B-6131,Disponible
312,Au00000313,A-3567,Ocupado
313,Au00000314,C-9048,Disponible
314,Au00000315,A-840,Disponible
315,Au00000316,Patio,Ocupado
316,Au00000317,A-5590,Mantenimiento
317,Au00000318,Salon Interactivo,Mantenimiento
318,Au00000319,B-806,Ocupado
319,Au00000320,D-9575,Disponible
320,Au00000321,Coliseo,Disponible
321,Au00000322,Patio,Disponible
322,Au00000323,C-9089,Ocupado
323,Au00000324,Salon Interactivo,Mantenimiento
324,Au00000325,Salon Interactivo,Disponible
325,Au00000326,Salon Interactivo,Disponible
326,Au00000327,Coliseo,Ocupado
327,Au00000328,Patio,Disponible
328,Au00000329,Salon Interactivo,Mantenimiento
329,Au00000330,B-6317,Ocupado
330,Au00000331,Coliseo,Ocupado
331,Au00000332,A-9276,Ocupado
332,Au00000333,C-7464,Mantenimiento
333,Au00000334,C-2912,Disponible
334,Au00000335,C-8835,Mantenimiento
335,Au00000336,D-6978,Disponible
336,Au00000337,B-7191,Ocupado
337,Au00000338,A-7135,Mantenimiento
338,Au00000339,B-6543,Mantenimiento
339,Au00000340,Patio,Disponible
340,Au00000341,A-1558,Ocupado
341,Au00000342,Coliseo,Disponible
342,Au00000343,D-9168,Ocupado
343,Au00000344,Patio,Ocupado
344,Au00000345,C-446,Ocupado
345,Au00000346,B-9051,Ocupado
346,Au00000347,A-9362,Disponible
347,Au00000348,Patio,Disponible
348,Au00000349,B-8695,Ocupado
349,Au00000350,Coliseo,Mantenimiento
350,Au00000351,C-7380,Mantenimiento
351,Au00000352,A-9902,Mantenimiento
352,Au00000353,Patio,Ocupado
353,Au00000354,D-9579,Ocupado
354,Au00000355,B-989,Mantenimiento
355,Au00000356,Salon Interactivo,Disponible
356,Au00000357,Coliseo,Mantenimiento
357,Au00000358,D-9895,Mantenimiento
358,Au00000359,A-1831,Mantenimiento
359,Au00000360,A-5989,Disponible
360,Au00000361,C-7517,Ocupado
361,Au00000362,Patio,Ocupado
362,Au00000363,B-9640,Mantenimiento
363,Au00000364,Salon Interactivo,Ocupado
364,Au00000365,A-330,Ocupado
365,Au00000366,Patio,Disponible
366,Au00000367,D-3257,Disponible
367,Au00000368,Coliseo,Ocupado
368,Au00000369,A-5471,Ocupado
369,Au00000370,Patio,Mantenimiento
370,Au00000371,A-7103,Disponible
371,Au00000372,Coliseo,Ocupado
372,Au00000373,D-9811,Disponible
373,Au00000374,D-8993,Ocupado
374,Au00000375,Salon Interactivo,Disponible
375,Au00000376,B-1956,Mantenimiento
376,Au00000377,B-1234,Ocupado
377,Au00000378,Coliseo,Disponible
378,Au00000379,Salon Interactivo,Disponible
379,Au00000380,C-5485,Mantenimiento
380,Au00000381,Salon Interactivo,Ocupado
381,Au00000382,B-1093,Ocupado
382,Au00000383,D-4177,Mantenimiento
383,Au00000384,B-4093,Ocupado
384,Au00000385,C-5282,Ocupado
385,Au00000386,Coliseo,Mantenimiento
386,Au00000387,Salon Interactivo,Mantenimiento
387,Au00000388,A-6265,Disponible
388,Au00000389,A-9727,Ocupado
389,Au00000390,Salon Interactivo,Ocupado
390,Au00000391,Patio,Mantenimiento
391,Au00000392,Patio,Mantenimiento
392,Au00000393,Salon Interactivo,Ocupado
393,Au00000394,C-5398,Ocupado
394,Au00000395,B-5514,Mantenimiento
395,Au00000396,B-2283,Mantenimiento
396,Au00000397,Salon Interactivo,Disponible
397,Au00000398,C-1837,Ocupado
398,Au00000399,D-3435,Disponible
399,Au00000400,Coliseo,Ocupado
400,Au00000401,C-2192,Mantenimiento
401,Au00000402,C-605,Disponible
402,Au00000403,D-6535,Mantenimiento
403,Au00000404,Patio,Mantenimiento
404,Au00000405,D-3387,Mantenimiento
405,Au00000406,B-2808,Ocupado
406,Au00000407,D-3290,Disponible
407,Au00000408,B-6052,Mantenimiento
408,Au00000409,B-1533,Mantenimiento
409,Au00000410,A-1444,Disponible
410,Au00000411,Patio,Disponible
411,Au00000412,Salon Interactivo,Disponible
412,Au00000413,D-6032,Ocupado
413,Au00000414,D-7647,Mantenimiento
414,Au00000415,Patio,Disponible
415,Au00000416,C-2103,Disponible
416,Au00000417,D-3756,Mantenimiento
417,Au00000418,C-2954,Disponible
418,Au00000419,A-9448,Ocupado
419,Au00000420,Patio,Mantenimiento
420,Au00000421,Salon Interactivo,Ocupado
421,Au00000422,B-5701,Mantenimiento
422,Au00000423,C-1405,Mantenimiento
423,Au00000424,A-2155,Disponible
424,Au00000425,Patio,Disponible
425,Au00000426,B-4237,Mantenimiento
426,Au00000427,D-9093,Disponible
427,Au00000428,D-7479,Disponible
428,Au00000429,B-4905,Ocupado
429,Au00000430,C-2646,Ocupado
430,Au00000431,C-5656,Ocupado
431,Au00000432,D-8066,Ocupado
432,Au00000433,C-5926,Mantenimiento
433,Au00000434,Patio,Ocupado
434,Au00000435,A-1305,Disponible
435,Au00000436,A-9761,Mantenimiento
436,Au00000437,C-7528,Mantenimiento
437,Au00000438,A-266,Mantenimiento
438,Au00000439,Coliseo,Ocupado
439,Au00000440,Salon Interactivo,Ocupado
440,Au00000441,A-5432,Disponible
441,Au00000442,D-3125,Mantenimiento
442,Au00000443,D-1924,Mantenimiento
443,Au00000444,C-3860,Disponible
444,Au00000445,Salon Interactivo,Ocupado
445,Au00000446,D-7569,Disponible
446,Au00000447,D-805,Disponible
447,Au00000448,Salon Interactivo,Ocupado
448,Au00000449,Patio,Disponible
449,Au00000450,D-9982,Ocupado
450,Au00000451,C-3212,Ocupado
451,Au00000452,Salon Interactivo,Ocupado
452,Au00000453,D-6643,Mantenimiento
453,Au00000454,Patio,Ocupado
454,Au00000455,D-8536,Disponible
455,Au00000456,B-5237,Mantenimiento
456,Au00000457,D-4846,Ocupado
457,Au00000458,C-6735,Disponible
458,Au00000459,C-9639,Mantenimiento
459,Au00000460,B-4238,Mantenimiento
460,Au00000461,B-552,Disponible
461,Au00000462,D-3984,Disponible
462,Au00000463,C-3724,Mantenimiento
463,Au00000464,Salon Interactivo,Disponible
464,Au00000465,D-982,Disponible
465,Au00000466,Coliseo,Mantenimiento
466,Au00000467,Salon Interactivo,Mantenimiento
467,Au00000468,D-3186,Disponible
468,Au00000469,C-8018,Mantenimiento
469,Au00000470,Coliseo,Mantenimiento
470,Au00000471,C-424,Ocupado
471,Au00000472,C-8428,Disponible
472,Au00000473,Patio,Mantenimiento
473,Au00000474,B-5464,Mantenimiento
474,Au00000475,A-9395,Mantenimiento
475,Au00000476,D-6261,Mantenimiento
476,Au00000477,B-3143,Mantenimiento
477,Au00000478,D-9570,Mantenimiento
478,Au00000479,Patio,Disponible
479,Au00000480,Salon Interactivo,Mantenimiento
480,Au00000481,Coliseo,Mantenimiento
481,Au00000482,Coliseo,Disponible
482,Au00000483,Patio,Disponible
483,Au00000484,A-4791,Ocupado
484,Au00000485,A-5325,Ocupado
485,Au00000486,Coliseo,Disponible
486,Au00000487,Salon Interactivo,Ocupado
487,Au00000488,D-5526,Disponible
488,Au00000489,D-6487,Disponible
489,Au00000490,Coliseo,Mantenimiento
490,Au00000491,A-8673,Mantenimiento
491,Au00000492,A-5609,Mantenimiento
492,Au00000493,Patio,Ocupado
493,Au00000494,C-6802,Disponible
494,Au00000495,B-1110,Ocupado
495,Au00000496,C-4931,Ocupado
496,Au00000497,B-180,Disponible
497,Au00000498,Patio,Disponible
498,Au00000499,A-3664,Disponible
499,Au00000500,Salon Interactivo,Ocupado
500,Au00000501,D-6010,Mantenimiento
501,Au00000502,Salon Interactivo,Disponible
502,Au00000503,C-3835,Disponible
503,Au00000504,B-2123,Ocupado
504,Au00000505,Patio,Mantenimiento
505,Au00000506,D-5579,Ocupado
506,Au00000507,D-6061,Disponible
507,Au00000508,A-7159,Disponible
508,Au00000509,Salon Interactivo,Disponible
509,Au00000510,Salon Interactivo,Disponible
510,Au00000511,B-8354,Mantenimiento
511,Au00000512,Salon Interactivo,Disponible
512,Au00000513,B-7680,Ocupado
513,Au00000514,D-917,Mantenimiento
514,Au00000515,A-2233,Ocupado
515,Au00000516,D-4361,Disponible
516,Au00000517,C-3589,Mantenimiento
517,Au00000518,Patio,Ocupado
518,Au00000519,Patio,Disponible
519,Au00000520,Patio,Disponible
520,Au00000521,A-2007,Ocupado
521,Au00000522,D-4648,Disponible
522,Au00000523,Patio,Mantenimiento
523,Au00000524,B-6312,Ocupado
524,Au00000525,D-8915,Mantenimiento
525,Au00000526,Patio,Mantenimiento
526,Au00000527,A-186,Disponible
527,Au00000528,B-1386,Disponible
528,Au00000529,Patio,Mantenimiento
529,Au00000530,A-2030,Mantenimiento
530,Au00000531,Coliseo,Disponible
531,Au00000532,Salon Interactivo,Disponible
532,Au00000533,Coliseo,Ocupado
533,Au00000534,B-7807,Ocupado
534,Au00000535,Salon Interactivo,Ocupado
535,Au00000536,B-3911,Mantenimiento
536,Au00000537,C-5093,Disponible
537,Au00000538,A-1256,Mantenimiento
538,Au00000539,Coliseo,Ocupado
539,Au00000540,C-1757,Mantenimiento
540,Au00000541,C-4166,Disponible
541,Au00000542,Salon Interactivo,Ocupado
542,Au00000543,D-4107,Ocupado
543,Au00000544,Coliseo,Disponible
544,Au00000545,A-5379,Mantenimiento
545,Au00000546,Coliseo,Disponible
546,Au00000547,Patio,Disponible
547,Au00000548,B-778,Disponible
548,Au00000549,Patio,Disponible
549,Au00000550,C-7731,Disponible
550,Au00000551,Salon Interactivo,Mantenimiento
551,Au00000552,Patio,Disponible
552,Au00000553,Patio,Mantenimiento
553,Au00000554,Salon Interactivo,Disponible
554,Au00000555,Salon Interactivo,Ocupado
555,Au00000556,B-1229,Mantenimiento
556,Au00000557,B-9129,Ocupado
557,Au00000558,Patio,Disponible
558,Au00000559,A-7364,Mantenimiento
559,Au00000560,A-5070,Ocupado
560,Au00000561,B-90,Disponible
561,Au00000562,Salon Interactivo,Mantenimiento
562,Au00000563,Salon Interactivo,Mantenimiento
563,Au00000564,Coliseo,Disponible
564,Au00000565,Salon Interactivo,Disponible
565,Au00000566,B-4237,Disponible
566,Au00000567,C-4067,Ocupado
567,Au00000568,B-6788,Ocupado
568,Au00000569,Patio,Mantenimiento
569,Au00000570,B-5607,Mantenimiento
570,Au00000571,Patio,Mantenimiento
571,Au00000572,C-175,Mantenimiento
572,Au00000573,D-2133,Disponible
573,Au00000574,Salon Interactivo,Mantenimiento
574,Au00000575,Salon Interactivo,Mantenimiento
575,Au00000576,Salon Interactivo,Disponible
576,Au00000577,D-7276,Ocupado
577,Au00000578,Patio,Disponible
578,Au00000579,Patio,Disponible
579,Au00000580,Patio,Ocupado
580,Au00000581,Coliseo,Ocupado
581,Au00000582,B-3526,Mantenimiento
582,Au00000583,A-9193,Disponible
583,Au00000584,B-9401,Ocupado
584,Au00000585,Patio,Ocupado
585,Au00000586,A-2672,Ocupado
586,Au00000587,D-9404,Ocupado
587,Au00000588,Patio,Ocupado
588,Au00000589,Patio,Ocupado
589,Au00000590,C-1844,Mantenimiento
590,Au00000591,A-5614,Ocupado
591,Au00000592,Salon Interactivo,Mantenimiento
592,Au00000593,B-2233,Disponible
593,Au00000594,Salon Interactivo,Disponible
594,Au00000595,Patio,Mantenimiento
595,Au00000596,B-8609,Disponible
596,Au00000597,A-6692,Disponible
597,Au00000598,Salon Interactivo,Disponible
598,Au00000599,C-6500,Disponible
599,Au00000600,Patio,Mantenimiento
600,Au00000601,D-2234,Mantenimiento
601,Au00000602,B-5810,Disponible
602,Au00000603,A-7901,Ocupado
603,Au00000604,B-7894,Mantenimiento
604,Au00000605,B-4070,Ocupado
605,Au00000606,D-2683,Ocupado
606,Au00000607,B-7018,Ocupado
607,Au00000608,A-2477,Disponible
608,Au00000609,Coliseo,Disponible
609,Au00000610,Patio,Disponible
610,Au00000611,C-9398,Ocupado
611,Au00000612,Coliseo,Disponible
612,Au00000613,C-9184,Ocupado
613,Au00000614,B-1557,Ocupado
614,Au00000615,D-3676,Ocupado
615,Au00000616,Salon Interactivo,Ocupado
616,Au00000617,A-5618,Mantenimiento
617,Au00000618,A-208,Disponible
618,Au00000619,Coliseo,Disponible
619,Au00000620,Salon Interactivo,Mantenimiento
620,Au00000621,Coliseo,Disponible
621,Au00000622,Patio,Ocupado
622,Au00000623,C-4685,Mantenimiento
623,Au00000624,Patio,Mantenimiento
624,Au00000625,C-3946,Disponible
625,Au00000626,D-3990,Mantenimiento
626,Au00000627,Coliseo,Mantenimiento
627,Au00000628,Salon Interactivo,Disponible
628,Au00000629,A-3588,Disponible
629,Au00000630,B-8897,Disponible
630,Au00000631,D-288,Ocupado
631,Au00000632,Coliseo,Ocupado
632,Au00000633,Salon Interactivo,Mantenimiento
633,Au00000634,Patio,Ocupado
634,Au00000635,Coliseo,Mantenimiento
635,Au00000636,Patio,Disponible
636,Au00000637,Patio,Mantenimiento
637,Au00000638,C-9784,Mantenimiento
638,Au00000639,D-7719,Ocupado
639,Au00000640,Salon Interactivo,Disponible
640,Au00000641,Patio,Ocupado
641,Au00000642,Patio,Ocupado
642,Au00000643,Salon Interactivo,Disponible
643,Au00000644,B-9465,Ocupado
644,Au00000645,Coliseo,Mantenimiento
645,Au00000646,Coliseo,Disponible
646,Au00000647,Coliseo,Mantenimiento
647,Au00000648,Patio,Ocupado
648,Au00000649,Salon Interactivo,Disponible
649,Au00000650,Coliseo,Disponible
650,Au00000651,Patio,Disponible
651,Au00000652,Patio,Mantenimiento
652,Au00000653,Salon Interactivo,Disponible
653,Au00000654,D-9598,Ocupado
654,Au00000655,C-6256,Mantenimiento
655,Au00000656,Coliseo,Disponible
656,Au00000657,Patio,Disponible
657,Au00000658,A-7629,Ocupado
658,Au00000659,Salon Interactivo,Disponible
659,Au00000660,C-5563,Mantenimiento
660,Au00000661,D-4979,Ocupado
661,Au00000662,Coliseo,Disponible
662,Au00000663,A-8188,Ocupado
663,Au00000664,Salon Interactivo,Disponible
664,Au00000665,Coliseo,Ocupado
665,Au00000666,Salon Interactivo,Disponible
666,Au00000667,C-3338,Mantenimiento
667,Au00000668,C-5473,Ocupado
668,Au00000669,B-490,Disponible
669,Au00000670,A-5991,Disponible
670,Au00000671,A-6944,Ocupado
671,Au00000672,Patio,Disponible
672,Au00000673,A-2563,Mantenimiento
673,Au00000674,Coliseo,Disponible
674,Au00000675,C-1881,Ocupado
675,Au00000676,A-9931,Disponible
676,Au00000677,A-9546,Mantenimiento
677,Au00000678,Patio,Disponible
678,Au00000679,Salon Interactivo,Ocupado
679,Au00000680,B-3548,Disponible
680,Au00000681,Patio,Disponible
681,Au00000682,C-2749,Disponible
682,Au00000683,B-7176,Disponible
683,Au00000684,Coliseo,Ocupado
684,Au00000685,D-8812,Mantenimiento
685,Au00000686,C-9053,Mantenimiento
686,Au00000687,B-7005,Mantenimiento
687,Au00000688,D-6590,Ocupado
688,Au00000689,Coliseo,Mantenimiento
689,Au00000690,Patio,Ocupado
690,Au00000691,A-8145,Ocupado
691,Au00000692,Patio,Ocupado
692,Au00000693,B-1140,Mantenimiento
693,Au00000694,Coliseo,Mantenimiento
694,Au00000695,B-7454,Disponible
695,Au00000696,C-3690,Ocupado
696,Au00000697,Patio,Mantenimiento
697,Au00000698,B-9191,Ocupado
698,Au00000699,D-5170,Mantenimiento
699,Au00000700,Salon Interactivo,Mantenimiento
700,Au00000701,D-7789,Disponible
701,Au00000702,Coliseo,Disponible
702,Au00000703,B-9981,Disponible
703,Au00000704,D-9700,Mantenimiento
704,Au00000705,C-6023,Disponible
705,Au00000706,D-5641,Ocupado
706,Au00000707,C-39,Mantenimiento
707,Au00000708,A-8313,Disponible
