,IdI,NombreI,TipoEduI,SostenimientoI,AreaI,RegimenI,ModalidadI,JornadaI,EstadoI
23,I00000024,Unidad Educativa Martha Martínez II,Artistica,Fiscomisional,Urbano,Costa,Presencial y SemiPresencial,Matutina,Activo
24,I00000025,Unidad Educativa Piedad Tovar,Especial,Particular,Urbano,Costa,Presencial y SemiPresencial,Matutina,Inactivo
25,I00000026,Unidad Educativa Elver Hurtado I,Artistica,Particular,Urbano,Sierra,Semipresencial,Matutina,Activo
26,I00000027,Unidad Educativa Juliana Cano III,Popular Permanente,Fiscomisional,Urbano,Sierra,Presencial y SemiPresencial,Matutina,Inactivo
27,I00000028,Unidad Educativa Consuelo Cardona III,Artistica,Fiscal,Urbano,Sierra,Presencial y SemiPresencial,Matutina,Inactivo
28,I00000029,Unidad Educativa Candelaria Salgado VI,Artistica,Particular,Rural,Costa,Virtual,Vespertina,Inactivo
29,I00000030,Unidad Educativa Diego Delgado V,Ordinaria,Fiscomisional,Rural,Sierra,Virtual,Matutina,Inactivo
30,I00000031,Unidad Educativa Gabriel Ortega I,Ordinaria,Fiscal,Rural,Sierra,Semipresencial,Vespertina,Activo
31,I00000032,Unidad Educativa Daniel González II,Ordinaria,Municipal,Rural,Costa,Semipresencial,Matutina,Activo
32,I00000033,Unidad Educativa Jaime Vargas,Ordinaria,Municipal,Rural,Costa,Presencial y SemiPresencial,Matutina,Activo
33,I00000034,Unidad Educativa Ruth Pérez V,Especial,Fiscomisional,Rural,Sierra,Semipresencial,Matutina,Inactivo
34,I00000035,Unidad Educativa Alejandra Mora I,Ordinaria,Fiscal,Rural,Costa,Presencial,Matutina,Inactivo
35,I00000036,Unidad Educativa Miguel López III,Especial,Fiscal,Urbano,Costa,Presencial,Matutina,Inactivo
36,I00000037,Unidad Educativa Javier Sánchez I,Ordinaria,Fiscomisional,Rural,Costa,Semipresencial,Matutina,Activo
37,I00000038,Unidad Educativa Jair Blanco,Artistica,Particular,Urbano,Costa,Semipresencial,Matutina,Activo
38,I00000039,Unidad Educativa Jhon Estrada II,Ordinaria,Fiscal,Rural,Sierra,Presencial,Matutina,Activo
39,I00000040,Unidad Educativa Antonio Forero,Especial,Particular,Urbano,Sierra,Virtual,Matutina,Inactivo
40,I00000041,Unidad Educativa Abel Martínez VI,Ordinaria,Municipal,Urbano,Costa,Semipresencial,Vespertina,Inactivo
41,I00000042,Unidad Educativa Mauricio Cardona,Ordinaria,Fiscomisional,Rural,Costa,Semipresencial,Matutina,Activo
42,I00000043,Unidad Educativa Juan Ramírez V,Especial,Fiscal,Rural,Sierra,Presencial y SemiPresencial,Matutina,Inactivo
43,I00000044,Unidad Educativa Fernanda Rico,Ordinaria,Municipal,Urbano,Sierra,Semipresencial,Matutina,Inactivo
44,I00000045,Unidad Educativa Catalina Uribe I,Artistica,Municipal,Rural,Costa,Presencial y SemiPresencial,Matutina,Inactivo
45,I00000046,Unidad Educativa Rosa Rivas V,Artistica,Fiscal,Rural,Sierra,Virtual,Matutina,Inactivo
46,I00000047,Unidad Educativa Carmen Ruiz II,Artistica,Fiscal,Rural,Costa,Presencial y SemiPresencial,Matutina,Activo
47,I00000048,Unidad Educativa Luis Mantilla,Artistica,Fiscomisional,Urbano,Costa,Semipresencial,Matutina,Activo
48,I00000049,Unidad Educativa Mario León III,Especial,Particular,Urbano,Costa,Presencial,Matutina,Activo
49,I00000050,Unidad Educativa Gabriel Andrade I,Popular Permanente,Fiscomisional,Rural,Sierra,Presencial,Matutina,Activo
50,I00000051,Unidad Educativa Fabián Arango,Popular Permanente,Fiscomisional,Urbano,Sierra,Presencial y SemiPresencial,Matutina,Activo
51,I00000052,Unidad Educativa Andrés Caicedo I,Ordinaria,Fiscal,Urbano,Costa,Virtual,Vespertina,Activo
52,I00000053,Unidad Educativa Luis Rodríguez V,Ordinaria,Fiscal,Urbano,Sierra,Semipresencial,Matutina,Inactivo
53,I00000054,Unidad Educativa Mabel Giraldo,Especial,Fiscomisional,Rural,Sierra,Virtual,Matutina,Activo
54,I00000055,Unidad Educativa Iván Fuentes I,Ordinaria,Municipal,Rural,Sierra,Presencial,Vespertina,Activo
55,I00000056,Unidad Educativa José Domínguez I,Especial,Particular,Urbano,Costa,Presencial y SemiPresencial,Matutina,Inactivo
56,I00000057,Unidad Educativa Harold Díaz V,Popular Permanente,Municipal,Urbano,Costa,Presencial y SemiPresencial,Matutina,Inactivo
57,I00000058,Unidad Educativa Alonso Torres,Especial,Fiscal,Urbano,Costa,Virtual,Matutina,Inactivo
58,I00000059,Unidad Educativa Ana Lozano I,Popular Permanente,Municipal,Urbano,Sierra,Virtual,Matutina,Inactivo
59,I00000060,Unidad Educativa Valentina Muñoz III,Artistica,Particular,Rural,Sierra,Semipresencial,Matutina,Activo
60,I00000061,Unidad Educativa Anyi Hurtado I,Especial,Particular,Urbano,Costa,Semipresencial,Matutina,Activo
61,I00000062,Unidad Educativa Deisy Flórez IV,Artistica,Municipal,Urbano,Sierra,Presencial,Matutina,Activo
62,I00000063,Unidad Educativa Alejandro Parra IV,Especial,Fiscal,Urbano,Sierra,Virtual,Vespertina,Inactivo
63,I00000064,Unidad Educativa Nancy Pérez IV,Especial,Fiscal,Rural,Costa,Semipresencial,Matutina,Inactivo
64,I00000065,Unidad Educativa Camilo Zapata V,Especial,Fiscomisional,Urbano,Costa,Presencial y SemiPresencial,Matutina,Inactivo
65,I00000066,Unidad Educativa Ximena Pérez III,Popular Permanente,Fiscal,Urbano,Sierra,Presencial,Matutina,Inactivo
66,I00000067,Unidad Educativa Luz Marín VI,Artistica,Particular,Rural,Costa,Semipresencial,Vespertina,Inactivo
67,I00000068,Unidad Educativa Javier Hernández I,Artistica,Particular,Rural,Sierra,Semipresencial,Matutina,Inactivo
68,I00000069,Unidad Educativa Viviana Rojas III,Especial,Municipal,Rural,Costa,Presencial y SemiPresencial,Matutina,Activo
69,I00000070,Unidad Educativa Óscar Cruz VI,Artistica,Particular,Rural,Sierra,Presencial y SemiPresencial,Matutina,Inactivo
70,I00000071,Unidad Educativa Albeiro Arias II,Especial,Particular,Urbano,Sierra,Presencial y SemiPresencial,Matutina,Inactivo
71,I00000072,Unidad Educativa Enrique Vargas III,Artistica,Particular,Urbano,Costa,Presencial,Matutina,Activo
72,I00000073,Unidad Educativa Fernando Peña IV,Ordinaria,Particular,Urbano,Costa,Virtual,Vespertina,Activo
73,I00000074,Unidad Educativa Isabel Perdomo VI,Especial,Fiscomisional,Rural,Sierra,Presencial,Matutina,Activo
74,I00000075,Unidad Educativa Bertha Carrillo V,Especial,Particular,Urbano,Sierra,Virtual,Matutina,Inactivo
75,I00000076,Unidad Educativa Ronald Ortiz III,Ordinaria,Fiscal,Rural,Costa,Presencial,Matutina,Inactivo
76,I00000077,Unidad Educativa Andrés Quintero V,Popular Permanente,Fiscomisional,Rural,Costa,Presencial,Matutina,Activo
77,I00000078,Unidad Educativa Cristina Torres VI,Especial,Fiscal,Urbano,Costa,Presencial y SemiPresencial,Matutina,Inactivo
78,I00000079,Unidad Educativa Alfonso Sarmiento II,Ordinaria,Particular,Rural,Sierra,Virtual,Matutina,Activo
79,I00000080,Unidad Educativa Cecilia Ríos VI,Especial,Fiscal,Urbano,Sierra,Virtual,Matutina,Activo
80,I00000081,Unidad Educativa Ana Moreno II,Popular Permanente,Fiscomisional,Rural,Sierra,Virtual,Matutina,Inactivo
81,I00000082,Unidad Educativa Valentina González I,Especial,Particular,Rural,Sierra,Presencial y SemiPresencial,Matutina,Activo
82,I00000083,Unidad Educativa Jorge Pacheco II,Especial,Fiscomisional,Rural,Costa,Virtual,Vespertina,Activo
83,I00000084,Unidad Educativa Danilo Romero,Popular Permanente,Fiscomisional,Urbano,Sierra,Presencial,Matutina,Activo
84,I00000085,Unidad Educativa Javier Rincón VI,Artistica,Particular,Rural,Sierra,Semipresencial,Matutina,Inactivo
85,I00000086,Unidad Educativa Julieth Hoyos I,Especial,Municipal,Urbano,Costa,Virtual,Matutina,Activo
86,I00000087,Unidad Educativa Manuel Ramírez V,Popular Permanente,Particular,Urbano,Costa,Presencial y SemiPresencial,Matutina,Activo
87,I00000088,Unidad Educativa María Muñoz V,Popular Permanente,Municipal,Urbano,Sierra,Virtual,Matutina,Activo
88,I00000089,Unidad Educativa José Mosquera IV,Artistica,Municipal,Rural,Costa,Presencial y SemiPresencial,Matutina,Inactivo
89,I00000090,Unidad Educativa Luis Álvarez V,Ordinaria,Municipal,Rural,Costa,Presencial,Matutina,Activo
90,I00000091,Unidad Educativa Laura Velásquez II,Artistica,Fiscomisional,Urbano,Sierra,Presencial,Matutina,Inactivo
91,I00000092,Unidad Educativa Octavio Buitrago,Especial,Fiscal,Rural,Costa,Presencial y SemiPresencial,Vespertina,Inactivo
92,I00000093,Unidad Educativa Diego Henao VI,Artistica,Municipal,Urbano,Costa,Virtual,Matutina,Activo
93,I00000094,Unidad Educativa Daniel Vargas IV,Ordinaria,Fiscal,Urbano,Sierra,Presencial,Matutina,Inactivo
94,I00000095,Unidad Educativa Abelardo Páez IV,Artistica,Particular,Urbano,Sierra,Presencial y SemiPresencial,Matutina,Inactivo
95,I00000096,Unidad Educativa Francy Jiménez V,Artistica,Fiscomisional,Urbano,Costa,Presencial y SemiPresencial,Matutina,Activo
96,I00000097,Unidad Educativa Camila Guerrero,Ordinaria,Municipal,Rural,Costa,Semipresencial,Matutina,Activo
97,I00000098,Unidad Educativa Jessica Arias IV,Especial,Fiscomisional,Rural,Sierra,Presencial,Matutina,Inactivo
98,I00000099,Unidad Educativa Gina Parra II,Especial,Municipal,Urbano,Costa,Semipresencial,Matutina,Inactivo
99,I00000100,Unidad Educativa Leonardo Daza V,Artistica,Municipal,Rural,Sierra,Presencial y SemiPresencial,Matutina,Activo
100,I00000101,Unidad Educativa Marlon Muñoz V,Popular Permanente,Particular,Urbano,Sierra,Presencial y SemiPresencial,Matutina,Activo
101,I00000102,Unidad Educativa Daniela Marín IV,Especial,Fiscomisional,Rural,Costa,Virtual,Matutina,Activo
102,I00000103,Unidad Educativa Juan Méndez IV,Artistica,Fiscal,Urbano,Costa,Semipresencial,Vespertina,Activo
103,I00000104,Unidad Educativa Diego Luna IV,Artistica,Municipal,Rural,Sierra,Presencial,Matutina,Inactivo
104,I00000105,Unidad Educativa Laura Ávila VI,Especial,Fiscal,Rural,Sierra,Presencial y SemiPresencial,Matutina,Activo
105,I00000106,Unidad Educativa Isabel Duarte VI,Especial,Fiscal,Rural,Costa,Presencial y SemiPresencial,Matutina,Inactivo
106,I00000107,Unidad Educativa Gonzalo Lozano,Popular Permanente,Particular,Urbano,Costa,Virtual,Matutina,Activo
107,I00000108,Unidad Educativa Esther García V,Ordinaria,Municipal,Urbano,Sierra,Presencial y SemiPresencial,Matutina,Inactivo
108,I00000109,Unidad Educativa Jhon Palacios,Artistica,Particular,Urbano,Costa,Semipresencial,Matutina,Inactivo
109,I00000110,Unidad Educativa Amparo Cerón V,Artistica,Fiscal,Urbano,Costa,Semipresencial,Matutina,Inactivo
110,I00000111,Unidad Educativa Eduardo Moreno II,Artistica,Particular,Urbano,Sierra,Presencial,Matutina,Activo
111,I00000112,Unidad Educativa Jorge Castillo IV,Artistica,Fiscal,Urbano,Sierra,Presencial,Matutina,Inactivo
112,I00000113,Unidad Educativa Juan Castillo IV,Especial,Municipal,Urbano,Sierra,Virtual,Matutina,Inactivo
113,I00000114,Unidad Educativa Rubén Marín IV,Artistica,Particular,Urbano,Costa,Semipresencial,Matutina,Inactivo
114,I00000115,Unidad Educativa Jeison Caicedo VI,Especial,Municipal,Urbano,Costa,Virtual,Matutina,Inactivo
115,I00000116,Unidad Educativa Guillermo Mejía,Popular Permanente,Fiscal,Urbano,Sierra,Semipresencial,Matutina,Inactivo
116,I00000117,Unidad Educativa Anderson Benítez II,Artistica,Particular,Urbano,Sierra,Presencial y SemiPresencial,Matutina,Activo
117,I00000118,Unidad Educativa Alexis Zambrano V,Especial,Fiscomisional,Rural,Costa,Semipresencial,Matutina,Activo
118,I00000119,Unidad Educativa Fernando Vergara V,Popular Permanente,Particular,Rural,Costa,Semipresencial,Matutina,Activo
119,I00000120,Unidad Educativa Rocío Medina,Popular Permanente,Fiscomisional,Urbano,Sierra,Semipresencial,Matutina,Activo
120,I00000121,Unidad Educativa Santiago López I,Especial,Fiscal,Rural,Costa,Presencial y SemiPresencial,Matutina,Inactivo
121,I00000122,Unidad Educativa Patricia López VI,Popular Permanente,Particular,Rural,Sierra,Presencial y SemiPresencial,Matutina,Inactivo
122,I00000123,Unidad Educativa Antonio Amaya IV,Ordinaria,Municipal,Rural,Sierra,Virtual,Matutina,Inactivo
123,I00000124,Unidad Educativa Alejandro Suárez VI,Ordinaria,Fiscomisional,Rural,Costa,Presencial,Matutina,Inactivo
124,I00000125,Unidad Educativa Fredy Bonilla,Especial,Particular,Rural,Costa,Presencial,Matutina,Inactivo
125,I00000126,Unidad Educativa Henry Rodríguez VI,Artistica,Particular,Rural,Sierra,Presencial,Matutina,Activo
126,I00000127,Unidad Educativa Hernando Tovar V,Artistica,Fiscomisional,Rural,Sierra,Virtual,Matutina,Activo
127,I00000128,Unidad Educativa Juan Hurtado IV,Popular Permanente,Municipal,Rural,Costa,Presencial,Matutina,Inactivo
128,I00000129,Unidad Educativa Alexander Pérez V,Ordinaria,Fiscomisional,Rural,Costa,Presencial y SemiPresencial,Vespertina,Inactivo
129,I00000130,Unidad Educativa David Jiménez I,Especial,Particular,Urbano,Costa,Virtual,Matutina,Activo
130,I00000131,Unidad Educativa Marina Galeano,Artistica,Municipal,Rural,Costa,Presencial,Matutina,Activo
131,I00000132,Unidad Educativa Alexandra Hernández VI,Especial,Municipal,Urbano,Sierra,Semipresencial,Vespertina,Inactivo
132,I00000133,Unidad Educativa Liliana Velásquez II,Especial,Municipal,Urbano,Sierra,Presencial,Matutina,Activo
133,I00000134,Unidad Educativa Mabel Obando II,Popular Permanente,Fiscomisional,Urbano,Sierra,Presencial,Matutina,Activo
134,I00000135,Unidad Educativa Rosa Herrera IV,Ordinaria,Particular,Urbano,Sierra,Presencial,Matutina,Activo
135,I00000136,Unidad Educativa Lucía Ávila,Ordinaria,Particular,Urbano,Sierra,Virtual,Matutina,Inactivo
136,I00000137,Unidad Educativa Cristhian García,Popular Permanente,Fiscal,Urbano,Sierra,Presencial y SemiPresencial,Matutina,Activo
137,I00000138,Unidad Educativa Dayana Jiménez III,Artistica,Fiscal,Rural,Costa,Presencial y SemiPresencial,Vespertina,Activo
138,I00000139,Unidad Educativa Andrés Pérez II,Especial,Particular,Rural,Costa,Semipresencial,Matutina,Activo
139,I00000140,Unidad Educativa William Pardo,Artistica,Fiscomisional,Urbano,Costa,Virtual,Vespertina,Activo
140,I00000141,Unidad Educativa Marcela Barrios,Ordinaria,Particular,Rural,Costa,Virtual,Vespertina,Activo
141,I00000142,Unidad Educativa Daniel Galvis,Ordinaria,Fiscomisional,Urbano,Sierra,Presencial y SemiPresencial,Matutina,Inactivo
142,I00000143,Unidad Educativa Enrique Agudelo,Popular Permanente,Fiscomisional,Rural,Costa,Semipresencial,Vespertina,Activo
143,I00000144,Unidad Educativa Elsy Restrepo II,Especial,Fiscomisional,Urbano,Costa,Presencial y SemiPresencial,Vespertina,Activo
144,I00000145,Unidad Educativa Marcela Ortiz II,Especial,Particular,Rural,Costa,Presencial,Matutina,Activo
145,I00000146,Unidad Educativa Fredy Hernández II,Especial,Fiscal,Rural,Costa,Virtual,Matutina,Inactivo
146,I00000147,Unidad Educativa Jeferson Zapata I,Especial,Particular,Rural,Sierra,Presencial,Matutina,Inactivo
147,I00000148,Unidad Educativa Hugo Leal,Popular Permanente,Fiscal,Urbano,Costa,Presencial y SemiPresencial,Matutina,Inactivo
148,I00000149,Unidad Educativa Rafael Contreras V,Artistica,Particular,Rural,Costa,Semipresencial,Matutina,Inactivo
149,I00000150,Unidad Educativa Lorena Cabrera V,Especial,Fiscal,Rural,Sierra,Semipresencial,Vespertina,Activo
150,I00000151,Unidad Educativa Manuela Ramírez VI,Artistica,Particular,Rural,Sierra,Virtual,Matutina,Activo
151,I00000152,Unidad Educativa María Durán,Ordinaria,Particular,Urbano,Sierra,Virtual,Vespertina,Inactivo
152,I00000153,Unidad Educativa Rubén Muñoz I,Artistica,Particular,Rural,Costa,Presencial,Vespertina,Inactivo
153,I00000154,Unidad Educativa Jhon Torres IV,Popular Permanente,Fiscomisional,Urbano,Sierra,Presencial,Matutina,Inactivo
154,I00000155,Unidad Educativa Karen Sánchez II,Popular Permanente,Particular,Rural,Costa,Virtual,Matutina,Activo
155,I00000156,Unidad Educativa Aida Ávila V,Popular Permanente,Municipal,Rural,Costa,Semipresencial,Matutina,Activo
156,I00000157,Unidad Educativa Edgar Gómez II,Popular Permanente,Particular,Urbano,Costa,Presencial,Matutina,Inactivo
157,I00000158,Unidad Educativa Jesús Bautista VI,Ordinaria,Fiscomisional,Urbano,Costa,Presencial,Vespertina,Activo
158,I00000159,Unidad Educativa Sergio Acosta IV,Especial,Municipal,Rural,Sierra,Virtual,Matutina,Inactivo
159,I00000160,Unidad Educativa Ana Barrera IV,Ordinaria,Fiscal,Rural,Sierra,Presencial,Matutina,Activo
160,I00000161,Unidad Educativa Patricia Ariza I,Ordinaria,Fiscomisional,Rural,Costa,Presencial,Vespertina,Inactivo
161,I00000162,Unidad Educativa Dario Fernández,Especial,Fiscal,Rural,Costa,Semipresencial,Matutina,Activo
162,I00000163,Unidad Educativa Carlos López V,Artistica,Municipal,Rural,Costa,Semipresencial,Matutina,Inactivo
163,I00000164,Unidad Educativa Fernando Gutiérrez I,Artistica,Municipal,Rural,Costa,Presencial,Matutina,Inactivo
164,I00000165,Unidad Educativa Darwin Jiménez I,Ordinaria,Fiscal,Urbano,Costa,Presencial y SemiPresencial,Matutina,Activo
165,I00000166,Unidad Educativa Mery Manrique I,Especial,Particular,Urbano,Costa,Presencial y SemiPresencial,Matutina,Activo
166,I00000167,Unidad Educativa Esther Mendoza I,Popular Permanente,Particular,Urbano,Costa,Virtual,Matutina,Activo
167,I00000168,Unidad Educativa José Toro I,Artistica,Particular,Rural,Costa,Virtual,Matutina,Inactivo
168,I00000169,Unidad Educativa Ligia Burgos II,Popular Permanente,Fiscomisional,Urbano,Sierra,Presencial,Matutina,Inactivo
169,I00000170,Unidad Educativa Orlando Moreno VI,Ordinaria,Fiscomisional,Rural,Costa,Semipresencial,Matutina,Activo
170,I00000171,Unidad Educativa María Gómez IV,Artistica,Fiscal,Rural,Sierra,Presencial,Matutina,Activo
171,I00000172,Unidad Educativa Jhon González VI,Especial,Municipal,Rural,Costa,Virtual,Vespertina,Inactivo
172,I00000173,Unidad Educativa Xiomara Cardona III,Ordinaria,Fiscal,Rural,Sierra,Presencial,Matutina,Activo
173,I00000174,Unidad Educativa Jessica González,Popular Permanente,Fiscal,Rural,Costa,Presencial,Matutina,Activo
174,I00000175,Unidad Educativa Andrea Bonilla III,Especial,Fiscomisional,Urbano,Costa,Presencial y SemiPresencial,Matutina,Activo
175,I00000176,Unidad Educativa Arbey Páez I,Especial,Particular,Rural,Sierra,Presencial,Matutina,Inactivo
176,I00000177,Unidad Educativa Alberto Herrera IV,Popular Permanente,Municipal,Rural,Sierra,Presencial,Matutina,Inactivo
177,I00000178,Unidad Educativa José Cárdenas VI,Especial,Fiscomisional,Urbano,Sierra,Semipresencial,Matutina,Inactivo
178,I00000179,Unidad Educativa Luis Mejía VI,Ordinaria,Fiscomisional,Urbano,Sierra,Presencial y SemiPresencial,Matutina,Activo
179,I00000180,Unidad Educativa Andrés Delgado,Artistica,Fiscal,Urbano,Costa,Presencial,Vespertina,Inactivo
180,I00000181,Unidad Educativa Andrea Vargas VI,Especial,Municipal,Rural,Sierra,Presencial,Matutina,Activo
181,I00000182,Unidad Educativa Mario Mendoza III,Popular Permanente,Fiscal,Rural,Costa,Presencial,Vespertina,Activo
182,I00000183,Unidad Educativa Deisy Ojeda II,Especial,Municipal,Rural,Costa,Presencial,Vespertina,Inactivo
183,I00000184,Unidad Educativa Arbey Giraldo II,Ordinaria,Municipal,Rural,Sierra,Presencial,Matutina,Inactivo
184,I00000185,Unidad Educativa Pedro Mendoza II,Ordinaria,Fiscal,Rural,Costa,Semipresencial,Matutina,Inactivo
185,I00000186,Unidad Educativa Manuel Alvarado II,Popular Permanente,Municipal,Urbano,Sierra,Presencial,Vespertina,Activo
186,I00000187,Unidad Educativa Luz Gómez V,Ordinaria,Particular,Rural,Costa,Semipresencial,Matutina,Activo
187,I00000188,Unidad Educativa Yuri Hernández IV,Especial,Fiscomisional,Rural,Sierra,Presencial,Matutina,Activo
188,I00000189,Unidad Educativa Jazmín Fajardo V,Ordinaria,Municipal,Rural,Costa,Semipresencial,Vespertina,Inactivo
189,I00000190,Unidad Educativa Cecilia Rodríguez III,Especial,Fiscomisional,Rural,Costa,Semipresencial,Matutina,Inactivo
190,I00000191,Unidad Educativa Anderson Álvarez V,Ordinaria,Municipal,Rural,Costa,Semipresencial,Matutina,Activo
191,I00000192,Unidad Educativa Esperanza López VI,Artistica,Municipal,Rural,Sierra,Virtual,Vespertina,Inactivo
192,I00000193,Unidad Educativa Jesús Monsalve VI,Ordinaria,Fiscal,Urbano,Sierra,Presencial y SemiPresencial,Matutina,Inactivo
193,I00000194,Unidad Educativa Federico Salazar VI,Ordinaria,Fiscomisional,Rural,Sierra,Presencial y SemiPresencial,Matutina,Activo
194,I00000195,Unidad Educativa Alberto González,Especial,Fiscal,Rural,Sierra,Semipresencial,Vespertina,Inactivo
195,I00000196,Unidad Educativa Josué Quintero V,Popular Permanente,Particular,Urbano,Costa,Presencial y SemiPresencial,Matutina,Activo
196,I00000197,Unidad Educativa Andrés Díaz V,Popular Permanente,Municipal,Urbano,Sierra,Virtual,Matutina,Activo
197,I00000198,Unidad Educativa Jhon Zapata II,Especial,Fiscal,Rural,Costa,Presencial y SemiPresencial,Matutina,Inactivo
198,I00000199,Unidad Educativa Yolima Rodríguez IV,Ordinaria,Fiscal,Rural,Sierra,Virtual,Matutina,Inactivo
199,I00000200,Unidad Educativa Diego Gómez I,Especial,Municipal,Rural,Costa,Semipresencial,Matutina,Activo
200,I00000201,Unidad Educativa Ester Jiménez,Popular Permanente,Fiscomisional,Rural,Sierra,Semipresencial,Matutina,Inactivo
201,I00000202,Unidad Educativa Alfonso Giraldo,Ordinaria,Fiscal,Rural,Sierra,Virtual,Matutina,Inactivo
202,I00000203,Unidad Educativa Domingo Martínez I,Popular Permanente,Particular,Urbano,Sierra,Presencial y SemiPresencial,Matutina,Inactivo
203,I00000204,Unidad Educativa Martha Hernández IV,Artistica,Fiscal,Rural,Costa,Virtual,Matutina,Inactivo
204,I00000205,Unidad Educativa Augusto González VI,Especial,Fiscomisional,Urbano,Sierra,Presencial,Matutina,Activo
205,I00000206,Unidad Educativa Olga Rodríguez VI,Especial,Fiscal,Rural,Costa,Virtual,Vespertina,Activo
206,I00000207,Unidad Educativa David Pérez II,Popular Permanente,Municipal,Rural,Sierra,Semipresencial,Matutina,Inactivo
207,I00000208,Unidad Educativa Carmen López V,Artistica,Municipal,Urbano,Sierra,Presencial y SemiPresencial,Matutina,Inactivo
208,I00000209,Unidad Educativa Álvaro Blanco VI,Popular Permanente,Fiscomisional,Urbano,Costa,Presencial y SemiPresencial,Vespertina,Activo
209,I00000210,Unidad Educativa María Muñoz,Popular Permanente,Fiscomisional,Urbano,Costa,Virtual,Matutina,Activo
210,I00000211,Unidad Educativa Manuela Moreno IV,Ordinaria,Fiscal,Rural,Costa,Presencial y SemiPresencial,Matutina,Activo
211,I00000212,Unidad Educativa Rolando Martínez I,Especial,Particular,Rural,Sierra,Virtual,Matutina,Activo
212,I00000213,Unidad Educativa Jorge Ruiz II,Especial,Municipal,Urbano,Costa,Presencial y SemiPresencial,Matutina,Activo
213,I00000214,Unidad Educativa Dario Arango,Popular Permanente,Municipal,Urbano,Sierra,Virtual,Matutina,Inactivo
214,I00000215,Unidad Educativa Javier Cabrera V,Especial,Municipal,Rural,Costa,Virtual,Matutina,Activo
215,I00000216,Unidad Educativa Andrea González,Especial,Fiscal,Rural,Costa,Semipresencial,Vespertina,Activo
216,I00000217,Unidad Educativa Liliana Vargas,Ordinaria,Particular,Rural,Sierra,Virtual,Matutina,Inactivo
217,I00000218,Unidad Educativa Pablo Rincón VI,Artistica,Fiscal,Rural,Costa,Presencial y SemiPresencial,Vespertina,Activo
218,I00000219,Unidad Educativa Jhon Ruiz IV,Especial,Municipal,Urbano,Costa,Virtual,Vespertina,Activo
219,I00000220,Unidad Educativa Rodrigo Moreno,Especial,Municipal,Rural,Sierra,Presencial y SemiPresencial,Matutina,Inactivo
220,I00000221,Unidad Educativa Alexander Vergara VI,Popular Permanente,Municipal,Rural,Sierra,Semipresencial,Vespertina,Inactivo
